Transaction_ID,Transaction_Date,Transaction_Time,Branch_ID,Customer_ID,Product_ID,Quantity,Unit_Price_KES,Discount_Percent,VAT_Percent,Payment_Method,Mpesa_Reference,Sales_Channel,Salesperson_ID,Delivery_Fee_KES,Order_Status
TXN000025,2026-06-24,17:27:16,BR001,CUST01805,PROD013,2,2156.96,0,0.16,Cash,,WhatsApp Order,EMP013,400,Completed
TXN000026,2026-03-12,15:57:58,BR007,CUST01011,PROD024,1,818.94,0.05,0.16,Bank Transfer,,Physical Store,EMP055,0,Completed
TXN000027,2026-02-07,10:29:16,BR002,CUST02110,PROD067,2,184.92,0,0.16,Cash,,Physical Store,EMP050,0,Completed
TXN000028,2025-07-30,14:53:29,BR010,CUST00479,PROD026,4,89.33,0,0.16,Card,,Physical Store,EMP022,0,Cancelled
TXN000029,2026-02-21,18:44:32,BR011,CUST00145,PROD016,1,631.95,0.1,0.16,Card,,Physical Store,EMP059,0,Completed
TXN000030,2026-06-28,15:20:25,BR006,CUST00859,PROD075,10,328.55,0,0.16,M-Pesa,VLCO5D1WIV,Physical Store,EMP054,0,Completed
TXN000031,2026-03-11,10:45:28,BR006,CUST02722,PROD056,5,1151.12,0,0.16,Cash,,Physical Store,EMP030,0,Completed
TXN000032,2025-04-14,13:23:02,BR003,CUST00289,PROD025,1,55.11,0,0.16,Cash,,Physical Store,EMP027,0,Completed
TXN000033,2026-08-01,19:17:36,BR009,CUST00691,PROD054,2,228.43,0.05,0.16,Cash,,Physical Store,EMP057,0,Completed
TXN000034,2025-01-06,16:30:53,BR011,CUST02112,PROD014,2,108.87,0,0.16,Cash,,Online,EMP011,250,Completed
TXN000035,2025-01-05,09:01:21,BR006,CUST01214,PROD043,3,305.74,0.1,0.16,M-Pesa,G8UU7C0TPK,Physical Store,EMP018,0,Completed
TXN000036,2025-06-03,16:37:17,BR001,CUST00764,PROD087,1,2390.53,0.1,0.16,M-Pesa,51MUK4XNBU,Physical Store,EMP049,0,Completed
TXN000037,2026-06-11,19:56:45,BR006,CUST00180,PROD099,6,339.35,0.05,0.16,M-Pesa,FKSLWVFMCI,Physical Store,EMP030,0,Completed
TXN000038,2025-10-12,17:46:03,BR001,CUST00133,PROD035,2,390.94,0.05,0.16,M-Pesa,JDS2SFYEAM,Physical Store,EMP049,0,Completed
TXN000039,2025-04-10,20:36:44,BR003,CUST02745,PROD085,3,2129.77,0.05,0.16,M-Pesa,4PFYYB74E3,Physical Store,EMP027,0,Completed
TXN000040,2026-07-06,08:22:48,BR007,CUST01904,PROD036,1,580.27,0.15,0.16,Card,,Online,EMP031,250,Completed
TXN000041,2026-02-28,17:04:52,BR001,CUST01291,PROD059,4,233.3,0.05,0.16,M-Pesa,U8MUR9ZBQ8,Online,EMP037,150,Completed
TXN000042,2025-04-25,16:35:19,BR006,CUST02354,PROD033,1,164.31,0.1,0.16,M-Pesa,SU6KS0BN1T,Physical Store,EMP006,0,Completed
TXN000043,2026-08-08,14:56:23,BR006,CUST02127,PROD066,2,200.19,0,0.16,M-Pesa,131794ANMK,Physical Store,EMP006,0,Completed
TXN000044,2025-08-10,10:40:21,BR002,CUST01179,PROD043,3,325.53,0.1,0.16,Bank Transfer,,Physical Store,EMP026,0,Completed
TXN000045,2025-04-03,14:11:26,BR002,CUST00701,PROD089,1,93.16,0,0.16,Card,,Physical Store,EMP038,0,Completed
TXN000046,2025-07-14,16:10:18,BR005,CUST01249,PROD004,1,587.58,0.15,0.16,M-Pesa,MB1531345T,Physical Store,EMP005,0,Completed
TXN000047,2025-12-27,11:27:38,BR012,CUST00715,PROD083,3,165.32,0,0.16,Cash,,Physical Store,EMP024,0,Completed
TXN000048,2025-01-05,08:39:31,BR004,CUST00875,PROD083,2,156.28,0,0.16,Card,,Physical Store,EMP028,0,Completed
TXN000049,2026-02-23,09:49:59,BR007,CUST02795,PROD072,1,597.93,0.15,0.16,M-Pesa,P1F2Q5PE8M,Physical Store,EMP007,0,Completed
TXN000050,2025-08-09,13:59:04,BR010,CUST01475,PROD082,4,216.22,0.15,0.16,M-Pesa,O0JMIW2NHZ,Online,EMP010,150,Completed
TXN000051,2026-06-27,10:52:38,BR011,CUST01544,PROD010,1,318.9,0.1,0.16,Card,,Physical Store,EMP023,0,Cancelled
TXN000052,2025-01-11,10:16:54,BR002,CUST02118,PROD011,3,523.94,0.1,0.16,Card,,Online,EMP002,150,Completed
TXN000053,2026-03-23,10:58:54,BR005,CUST00751,PROD066,2,196.35,0.1,0.16,M-Pesa,73TN4XGHD1,Online,EMP041,400,Completed
TXN000054,2026-07-26,15:19:34,BR007,CUST00868,PROD103,1,582.51,0,0.16,Card,,Physical Store,EMP031,0,Completed
TXN000055,2025-10-30,13:05:30,BR003,CUST00174,PROD034,4,134.72,0.05,0.16,M-Pesa,ETZXVKDRAA,Physical Store,EMP015,0,Completed
TXN000056,2025-05-07,12:33:07,BR012,CUST00193,PROD032,5,2285.75,0.05,0.16,M-Pesa,MXKG7JNXE0,Online,EMP048,400,Completed
TXN000057,2025-03-24,14:01:45,BR004,CUST01502,PROD041,2,309.07,0.05,0.16,M-Pesa,YK2VRH0JOB,Physical Store,EMP040,0,Completed
TXN000058,2025-09-07,08:34:25,BR007,CUST01582,PROD036,1,589.92,0.05,0.16,M-Pesa,V6334MRMYG,Physical Store,EMP031,0,Completed
TXN000059,2026-08-12,18:40:12,BR001,CUST01052,PROD017,3,620.11,0.05,0.16,Bank Transfer,,Physical Store,EMP049,0,Completed
TXN000060,2026-01-24,09:57:46,BR007,CUST00711,PROD090,10,51.27,0.1,0.16,M-Pesa,DTBI0Q32C7,Online,EMP031,250,Completed
TXN000061,2026-05-10,12:46:00,BR002,CUST01937,PROD070,3,506.66,0.05,0.16,Card,,WhatsApp Order,EMP002,350,Completed
TXN000062,2026-01-27,20:33:44,BR008,CUST01207,PROD086,3,251.35,0,0.16,M-Pesa,8FVIH0RBF7,Physical Store,EMP032,0,Completed
TXN000063,2026-03-06,11:02:16,BR001,CUST00299,PROD028,2,398.25,0,0.16,M-Pesa,I301W74A6C,Physical Store,EMP037,0,Completed
TXN000064,2025-08-31,08:01:58,BR008,CUST02078,PROD049,1,555.41,0,0.16,M-Pesa,UEZE0KFS1J,Physical Store,EMP032,0,Completed
TXN000065,2026-02-28,09:18:56,BR006,CUST00062,PROD001,2,217.66,0,0.16,Cash,,Online,EMP018,300,Completed
TXN000066,2025-07-20,20:13:06,BR003,CUST01164,PROD017,2,653.04,0.1,0.16,Cash,,Physical Store,EMP027,0,Completed
TXN000067,2025-06-03,14:17:45,BR003,CUST02835,PROD084,3,97.64,0,0.16,M-Pesa,XZ7GEK91VE,Online,EMP003,150,Completed
TXN000068,2026-02-21,08:37:59,BR006,CUST00049,PROD090,4,48.57,0.1,0.16,Card,,Online,EMP018,150,Completed
TXN000069,2025-06-04,13:44:36,BR011,CUST01928,PROD095,2,285.15,0,0.16,M-Pesa,B6DKJX7GAY,Physical Store,EMP035,0,Completed
TXN000070,2026-03-19,14:21:08,BR001,CUST02108,PROD081,2,892.2,0,0.16,Cash,,Physical Store,EMP001,0,Completed
TXN000071,2025-10-03,19:23:11,BR007,CUST00871,PROD034,2,134.78,0,0.16,Card,,Physical Store,EMP007,0,Completed
TXN000072,2026-05-05,09:54:52,BR001,CUST00946,PROD050,2,141.81,0,0.16,Card,,Physical Store,EMP037,0,Completed
TXN000073,2026-01-14,10:45:45,BR001,CUST00507,PROD050,5,144.07,0.1,0.16,Bank Transfer,,Physical Store,EMP049,0,Completed
TXN000074,2026-02-02,13:09:45,BR007,CUST00695,PROD026,2,90.74,0,0.16,Card,,Physical Store,EMP007,0,Completed
TXN000075,2026-02-15,11:05:42,BR006,CUST00132,PROD098,2,149.82,0,0.16,M-Pesa,Y7I9DKA0IH,Physical Store,EMP042,0,Cancelled
TXN000076,2025-02-12,20:55:01,BR007,CUST00926,PROD014,1,109.89,0,0.16,M-Pesa,D4B1ZKW0HT,Physical Store,EMP007,0,Completed
TXN000077,2026-03-01,10:39:59,BR005,CUST01155,PROD106,2,298.33,0.15,0.16,M-Pesa,8L1PC2R795,Online,EMP053,300,Completed
TXN000078,2026-05-26,12:28:49,BR001,CUST02902,PROD087,2,2415.86,0.1,0.16,M-Pesa,HHLZB52XCQ,Physical Store,EMP013,0,Completed
TXN000079,2026-01-14,16:20:36,BR011,CUST01214,PROD107,5,491.59,0,0.16,M-Pesa,TM7Q9EUFY9,Online,EMP035,250,Completed
TXN000080,2026-01-19,10:20:27,BR008,CUST00402,PROD081,8,873.74,0.05,0.16,Card,,Physical Store,EMP008,0,Completed
TXN000081,2025-10-19,19:51:59,BR005,CUST00896,PROD079,10,1150.73,0,0.16,M-Pesa,VCU08H4VEU,WhatsApp Order,EMP017,200,Completed
TXN000082,2025-01-31,11:10:21,BR007,CUST02534,PROD092,4,300.68,0.05,0.16,Cash,,WhatsApp Order,EMP007,400,Completed
TXN000083,2025-05-26,11:13:43,BR008,CUST01375,PROD059,3,246.32,0.1,0.16,Cash,,Physical Store,EMP044,0,Completed
TXN000084,2025-09-27,09:39:08,BR002,CUST01353,PROD116,10,227.3,0,0.16,M-Pesa,184ZAUDVMF,Physical Store,EMP026,0,Completed
TXN000085,2025-12-18,13:29:04,BR011,CUST00956,PROD032,1,2320.55,0,0.16,M-Pesa,RKXECCHFSP,Online,EMP035,250,Completed
TXN000086,2026-06-08,19:23:30,BR005,CUST01262,PROD099,8,339.5,0,0.16,M-Pesa,QZE65LV7ME,Physical Store,EMP041,0,Completed
TXN000087,2026-02-06,20:06:29,BR002,CUST01376,PROD063,2,477.7,0,0.16,M-Pesa,072EHWXFP6,Physical Store,EMP026,0,Completed
TXN000088,2025-12-08,18:37:08,BR009,CUST01289,PROD086,2,249.18,0,0.16,M-Pesa,HQF7MN8D39,Physical Store,EMP033,0,Completed
TXN000089,2025-04-26,18:51:31,BR007,CUST01317,PROD009,2,306.25,0,0.16,Card,,Physical Store,EMP031,0,Completed
TXN000090,2026-01-03,17:06:27,BR001,CUST01924,PROD032,1,2232.9,0.1,0.16,Card,,Physical Store,EMP037,0,Completed
TXN000091,2025-02-28,19:10:29,BR001,CUST00242,PROD075,1,337.99,0.15,0.16,Cash,,Online,EMP013,400,Completed
TXN000092,2025-10-01,19:02:31,BR011,CUST02482,PROD072,2,612.37,0,0.16,M-Pesa,TZ7QFQ4UCL,Online,EMP059,250,Completed
TXN000093,2025-12-25,13:42:49,BR001,CUST00727,PROD018,1,252.17,0,0.16,M-Pesa,432Q0AXAW2,WhatsApp Order,EMP013,300,Completed
TXN000094,2026-03-15,18:14:39,BR001,CUST00841,PROD065,5,150.08,0.1,0.16,M-Pesa,CF83DKSI6Z,Physical Store,EMP025,0,Completed
TXN000095,2025-02-20,08:32:38,BR003,CUST01852,PROD070,3,503.75,0,0.16,Bank Transfer,,Online,EMP039,200,Completed
TXN000096,2025-05-10,14:10:33,BR002,CUST01100,PROD008,3,491.88,0.05,0.16,M-Pesa,LQNQYQIKP7,Online,EMP050,0,Cancelled
TXN000097,2026-03-24,18:18:09,BR012,CUST00710,PROD098,2,147.3,0,0.16,M-Pesa,N0BSEEUO95,Physical Store,EMP036,0,Completed
TXN000098,2026-07-02,15:01:58,BR007,CUST00001,PROD026,3,93.12,0,0.16,Cash,,Online,EMP043,350,Completed
TXN000099,2026-08-11,17:53:39,BR002,CUST02087,PROD114,3,206.38,0.05,0.16,Card,,Physical Store,EMP026,0,Completed
TXN000100,2025-09-16,12:41:58,BR001,CUST00337,PROD058,2,83.43,0,0.16,Cash,,Online,EMP001,300,Completed
TXN000101,2025-10-19,08:57:13,BR012,CUST00754,PROD046,2,101.71,0,0.16,M-Pesa,8Q8UXWEL4D,Physical Store,EMP036,0,Refunded
TXN000102,2026-07-12,18:01:41,BR010,CUST00833,PROD115,1,174.9,0.05,0.16,M-Pesa,XE69FUSFH1,WhatsApp Order,EMP034,300,Completed
TXN000103,2025-08-02,14:32:02,BR002,CUST00951,PROD085,8,2042.27,0.15,0.16,Bank Transfer,,Physical Store,EMP014,0,Completed
TXN000104,2025-12-08,09:49:46,BR003,CUST02240,PROD115,1,172.16,0.05,0.16,Cash,,Physical Store,EMP039,0,Completed
TXN000105,2026-04-27,08:42:20,BR005,CUST02131,PROD063,3,467.21,0,0.16,M-Pesa,255P9RJB2F,Physical Store,EMP017,0,Completed
TXN000106,2025-07-16,14:27:40,BR006,CUST00472,PROD044,5,342.11,0.05,0.16,Bank Transfer,,Physical Store,EMP006,0,Completed
TXN000107,2025-04-22,19:04:16,BR006,CUST01053,PROD022,2,181.03,0,0.16,M-Pesa,I0L4QHCTEK,Physical Store,EMP018,0,Completed
TXN000108,2025-08-30,18:24:31,BR008,CUST00095,PROD073,1,321.68,0.15,0.16,M-Pesa,MGEHDNFO80,Online,EMP056,150,Completed
TXN000109,2026-03-23,17:51:20,BR001,CUST00923,PROD087,1,2282.94,0.05,0.16,M-Pesa,NW6DT6W4IM,Online,EMP025,150,Completed
TXN000110,2025-08-25,19:57:02,BR004,CUST02573,PROD060,10,419.12,0,0.16,Cash,,WhatsApp Order,EMP016,150,Completed
TXN000111,2025-09-21,20:46:34,BR002,CUST00379,PROD102,1,508.86,0,0.16,M-Pesa,JX6I6LM1YS,Physical Store,EMP050,0,Completed
TXN000112,2026-08-02,19:37:38,BR009,CUST02228,PROD114,2,210.16,0.05,0.16,M-Pesa,MMYZRO5ASO,Physical Store,EMP057,0,Completed
TXN000113,2026-06-09,11:59:09,BR008,CUST00028,PROD047,1,590.41,0.1,0.16,M-Pesa,64UX7ZJ6NI,Physical Store,EMP044,0,Completed
TXN000114,2025-02-01,10:16:38,BR002,CUST02780,PROD050,1,141.04,0,0.16,M-Pesa,JPK4C636CS,Physical Store,EMP002,0,Completed
TXN000115,2025-01-20,18:05:10,BR001,CUST00635,PROD112,2,975.19,0.05,0.16,Bank Transfer,,WhatsApp Order,EMP001,350,Completed
TXN000116,2026-01-12,15:04:33,BR005,CUST00366,PROD029,2,2071.99,0,0.16,M-Pesa,90X3KMSFVL,Online,EMP053,400,Completed
TXN000117,2026-06-04,17:53:53,BR005,CUST01242,PROD049,3,538.77,0.05,0.16,Cash,,Physical Store,EMP029,0,Completed
TXN000118,2026-03-24,09:36:32,BR009,CUST00414,PROD059,1,245.49,0.1,0.16,Card,,Online,EMP033,0,Refunded
TXN000119,2026-08-02,14:34:57,BR005,CUST01740,PROD041,8,298.61,0.05,0.16,Cash,,WhatsApp Order,EMP053,200,Completed
TXN000120,2025-03-24,11:23:41,BR003,CUST02660,PROD017,2,619.15,0,0.16,M-Pesa,LROUPY3BXZ,Physical Store,EMP015,0,Completed
TXN000121,2025-12-01,09:23:56,BR010,CUST01618,PROD070,5,504.5,0.05,0.16,M-Pesa,ULO752SOBB,Online,EMP058,350,Completed
TXN000122,2025-05-15,10:27:34,BR004,CUST01927,PROD009,2,303.15,0,0.16,Card,,Physical Store,EMP004,0,Completed
TXN000123,2025-01-18,13:39:48,BR004,CUST01472,PROD110,4,67.92,0.1,0.16,M-Pesa,YT70AA8C2A,Online,EMP040,150,Completed
TXN000124,2026-06-30,13:44:32,BR001,CUST01043,PROD108,1,163.59,0,0.16,M-Pesa,A7S40Q3NQX,WhatsApp Order,EMP025,300,Completed
TXN000125,2026-08-18,11:19:22,BR012,CUST01382,PROD117,1,2527.83,0,0.16,M-Pesa,6QKGPFCPIS,Physical Store,EMP024,0,Completed
TXN000126,2026-01-27,20:01:15,BR002,CUST02275,PROD059,3,248.2,0.05,0.16,Card,,Physical Store,EMP038,0,Completed
TXN000127,2025-12-23,09:56:45,BR002,CUST01357,PROD015,2,1171.92,0.15,0.16,Cash,,Physical Store,EMP050,0,Completed
TXN000128,2026-03-03,18:12:52,BR003,CUST01692,PROD032,6,2277.99,0,0.16,Card,,Physical Store,EMP051,0,Completed
TXN000129,2026-02-21,09:58:25,BR001,CUST02074,PROD004,3,590.11,0,0.16,M-Pesa,RCPKK0NHV3,Physical Store,EMP037,0,Cancelled
TXN000130,2025-11-12,12:27:28,BR012,CUST02326,PROD062,3,102.17,0.15,0.16,M-Pesa,D5DYYNBOXT,Physical Store,EMP024,0,Completed
TXN000131,2026-07-30,15:07:45,BR005,CUST01720,PROD035,1,392.94,0,0.16,M-Pesa,FAK4ASLLMO,Physical Store,EMP041,0,Completed
TXN000132,2025-09-14,19:16:55,BR011,CUST00108,PROD054,2,228.71,0.1,0.16,M-Pesa,MO8P8VEQOA,Physical Store,EMP059,0,Completed
TXN000133,2025-12-13,18:36:49,BR009,CUST02349,PROD013,2,2185.91,0.05,0.16,Cash,,Physical Store,EMP009,0,Completed
TXN000134,2025-12-17,13:43:12,BR007,CUST01063,PROD093,2,922.68,0.05,0.16,M-Pesa,JRJR2JBZQR,Physical Store,EMP031,0,Completed
TXN000135,2025-09-13,13:51:39,BR001,CUST01785,PROD002,1,195.19,0.05,0.16,M-Pesa,DLU3CKZQWX,Physical Store,EMP037,0,Completed
TXN000136,2025-08-04,09:35:28,BR003,CUST00011,PROD106,1,292.02,0.05,0.16,M-Pesa,60RSVFXMUX,Physical Store,EMP051,0,Completed
TXN000137,2026-08-25,20:11:32,BR003,CUST02763,PROD026,1,91.65,0.1,0.16,Cash,,Physical Store,EMP003,0,Cancelled
TXN000138,2025-02-04,16:00:55,BR001,CUST02885,PROD058,2,86.93,0.15,0.16,M-Pesa,22TA8127IJ,Physical Store,EMP001,0,Completed
TXN000139,2026-08-16,17:26:56,BR012,CUST01193,PROD025,2,56.47,0,0.16,Cash,,Physical Store,EMP024,0,Completed
TXN000140,2026-01-09,17:26:19,BR003,CUST02433,PROD089,3,90.21,0,0.16,M-Pesa,01Y56LW1AB,Physical Store,EMP051,0,Completed
TXN000141,2025-01-22,10:03:10,BR008,CUST02661,PROD087,4,2329.28,0,0.16,M-Pesa,TAFP7BUWFO,Physical Store,EMP044,0,Completed
TXN000142,2025-04-01,09:14:31,BR001,CUST02722,PROD066,1,196.7,0.05,0.16,M-Pesa,7P5SCBKVIW,Physical Store,EMP037,0,Completed
TXN000143,2025-04-11,18:52:43,BR007,CUST02467,PROD087,1,2365.34,0.05,0.16,M-Pesa,DBWZ2ZOLQN,Physical Store,EMP031,0,Completed
TXN000144,2025-10-14,16:03:28,BR007,CUST00335,PROD093,2,939.72,0.05,0.16,Card,,Physical Store,EMP031,0,Completed
TXN000145,2025-11-20,20:21:51,BR003,CUST01456,PROD064,1,1460.91,0,0.16,Card,,Physical Store,EMP051,0,Completed
TXN000146,2026-01-18,09:54:28,BR005,CUST00166,PROD057,3,60.45,0.15,0.16,M-Pesa,TAZCELZ2WN,Online,EMP017,150,Completed
TXN000147,2025-02-25,20:35:19,BR003,CUST02959,PROD020,1,242.65,0.05,0.16,Bank Transfer,,Physical Store,EMP027,0,Completed
TXN000148,2025-05-06,16:07:30,BR010,CUST00818,PROD009,4,322.38,0.15,0.16,M-Pesa,B8EBHLW2Y4,Physical Store,EMP034,0,Completed
TXN000149,2025-02-11,16:50:30,BR008,CUST00130,PROD051,1,222.86,0,0.16,M-Pesa,RI1FIGNO8B,Physical Store,EMP044,0,Completed
TXN000150,2026-07-11,10:24:06,BR001,CUST01948,PROD002,8,197.24,0,0.16,M-Pesa,N6DPEDQS90,Online,EMP013,0,Cancelled
TXN000151,2025-12-14,14:18:18,BR007,CUST00487,PROD119,2,2506.52,0.05,0.16,M-Pesa,A1UQY0GDE3,Physical Store,EMP019,0,Completed
TXN000152,2025-01-22,17:27:10,BR008,CUST01029,PROD091,6,263.86,0.1,0.16,Bank Transfer,,Physical Store,EMP044,0,Completed
TXN000153,2026-06-19,20:59:08,BR004,CUST00414,PROD093,3,901.75,0.1,0.16,Card,,Online,EMP052,250,Completed
TXN000154,2026-08-11,13:47:00,BR008,CUST01879,PROD050,1,137.83,0,0.16,Cash,,Online,EMP032,150,Completed
TXN000155,2025-09-03,20:12:11,BR010,CUST00046,PROD064,1,1502.04,0.05,0.16,Cash,,Online,EMP022,350,Completed
TXN000156,2026-03-29,13:55:02,BR009,CUST00847,PROD035,3,395.81,0,0.16,Card,,Physical Store,EMP057,0,Completed
TXN000157,2026-07-26,13:42:08,BR009,CUST01944,PROD034,4,134.14,0.1,0.16,M-Pesa,NABFZPNQPN,Physical Store,EMP009,0,Completed
TXN000158,2025-10-12,09:08:28,BR006,CUST00881,PROD082,1,222.43,0.05,0.16,M-Pesa,JYGBHAN9C9,WhatsApp Order,EMP018,250,Completed
TXN000159,2025-10-07,08:03:40,BR007,CUST02002,PROD114,5,212.11,0,0.16,M-Pesa,Z1OM2XBUZ8,Online,EMP007,0,Cancelled
TXN000160,2025-08-29,12:47:09,BR006,CUST01821,PROD001,3,214.17,0,0.16,M-Pesa,XXOJ6IR7ES,Online,EMP054,150,Completed
TXN000161,2026-03-14,12:48:37,BR002,CUST01538,PROD034,1,131.37,0.1,0.16,M-Pesa,5MU031NNO8,Online,EMP014,0,Cancelled
TXN000162,2025-08-19,13:49:10,BR002,CUST01984,PROD069,1,3617.1,0,0.16,M-Pesa,8EENJ4WW9H,Online,EMP014,350,Completed
TXN000163,2025-08-23,19:30:25,BR001,CUST01363,PROD018,2,242.39,0.15,0.16,Card,,WhatsApp Order,EMP037,200,Completed
TXN000164,2025-01-21,19:02:09,BR010,CUST01399,PROD035,2,414.55,0.05,0.16,Card,,Physical Store,EMP010,0,Completed
TXN000165,2025-11-24,08:51:15,BR003,CUST00165,PROD052,5,130.08,0,0.16,M-Pesa,PLXF2W46O0,WhatsApp Order,EMP015,250,Completed
TXN000166,2025-04-14,15:30:42,BR006,CUST02359,PROD003,1,226.68,0.1,0.16,Bank Transfer,,Online,EMP054,350,Completed
TXN000167,2025-11-20,15:04:43,BR012,CUST01765,PROD013,1,2121.01,0.05,0.16,M-Pesa,5WN91PBBRB,WhatsApp Order,EMP024,250,Completed
TXN000168,2025-09-18,08:44:31,BR002,CUST00135,PROD100,1,598.31,0.1,0.16,Card,,Physical Store,EMP050,0,Completed
TXN000169,2026-03-24,08:53:04,BR007,CUST01148,PROD033,2,160.32,0.15,0.16,Card,,Physical Store,EMP055,0,Completed
TXN000170,2025-10-24,11:23:38,BR002,CUST00513,PROD054,6,227.43,0,0.16,M-Pesa,PF7MWV1SDQ,Physical Store,EMP026,0,Completed
TXN000171,2025-12-08,11:17:20,BR010,CUST02216,PROD022,1,182.1,0,0.16,M-Pesa,HAZETSY4KC,Physical Store,EMP046,0,Completed
TXN000172,2026-08-21,13:21:29,BR008,CUST02687,PROD033,3,165.08,0,0.16,M-Pesa,B8DC90BWHB,Online,EMP008,350,Completed
TXN000173,2026-08-09,11:02:24,BR007,CUST02597,PROD093,1,918.64,0,0.16,M-Pesa,2LQD612RWV,Online,EMP031,150,Completed
TXN000174,2025-06-28,13:33:55,BR001,CUST02843,PROD006,1,509.92,0.05,0.16,M-Pesa,7FS7OIDELG,Physical Store,EMP013,0,Completed
TXN000175,2026-01-04,12:26:04,BR003,CUST01774,PROD067,10,197.53,0,0.16,M-Pesa,CFKT9AJ9EW,Physical Store,EMP015,0,Completed
TXN000176,2026-03-15,08:48:37,BR001,CUST01880,PROD087,2,2324.85,0,0.16,M-Pesa,6I25BT6NFV,Physical Store,EMP049,0,Completed
TXN000177,2025-09-24,09:55:08,BR009,CUST02889,PROD017,1,632.91,0,0.16,Card,,Physical Store,EMP033,0,Completed
TXN000178,2026-06-07,15:58:43,BR010,CUST00753,PROD005,1,3372.72,0,0.16,M-Pesa,QSG8BYJG1H,Online,EMP022,350,Completed
TXN000179,2025-06-25,08:19:33,BR009,CUST01085,PROD007,10,896.71,0,0.16,Cash,,Physical Store,EMP021,0,Completed
TXN000180,2025-04-12,18:29:15,BR004,CUST01293,PROD017,8,648.87,0.05,0.16,M-Pesa,MXXAZOAR2N,Physical Store,EMP028,0,Completed
