Transaction_ID,Transaction_Date,Branch_ID,Customer_ID,Product_ID,Quantity,Unit_Price_KES,Payment_Method,County,Order_Status
TXN004579,04/08/2025,BR012,CUST00550,PROD021,4,5037.08,Card,Kakamega,Completed
TXN008895,2026-05-08,BR003,CUST02748,PROD050,2,KES 140.57,M-Pesa,Nairobi,Completed
TXN006342,2026-02-20,BR007,CUST01295,PROD001,3,218.2,M-Pesa,Mombasa,cancelled 
TXN014764,2026-08-04,BR004,CUST01687,PROD078,2,KES 124.42,Bank Transfer,Kiambu,Completed
TXN006884,2025-07-08,BR007,CUST02208,PROD011,1,502.12,Card,nairobi,Completed
TXN001841,2026-07-14,BR001,CUST00047,PROD073,,318.96,M-Pesa,Nairobi,Completed
TXN019181,2025-11-20,BR012,CUST00429,PROD023,1,"KES 1,521.94",M-Pesa,Kakamega,Completed
TXN002264,2026-07-17,BR002,CUST01893,PROD105,1,332.54,Cash,Nbi,Completed
TXN014207,2026-01-05,BR008,,PROD061,4,2170.52,M-Pesa,Kisumu,Completed
TXN003260,2025-09-14,BR004,CUST01178,PROD098,1,153.81,M-Pesa,Nbi,Completed
TXN002570,2025-05-09,BR003,,PROD095,8,276.11,Cash,Nairobi,Completed
TXN015559,2026-05-15,BR005,CUST00600,PROD097,3,129.95,M-Pesa,Kiambu ,Completed
TXN009134,2025-06-04,BR004,CUST01745,PROD067,3,189.68,Bank Transfer,Kiambu,Completed
TXN019105,2026-08-12,BR011,CUST02623,PROD023,3,"KES 1,477.97",Card,Kajiado,Completed
TXN000531,2025-07-11,BR001,CUST01651,PROD053,2,4378.83,M-Pesa,Nairobi,Completed
TXN006576,23/05/2025,BR011,CUST00516,PROD072,8,617.93,M-Pesa,Kajiado,Completed
TXN005522,2026-04-26,BR001,CUST02460,PROD117,,2457.64,M-Pesa,Nairobi,Completed
TXN001517,2026-08-11,BR004,CUST01161,PROD093,1,947.47,Cash,Kiambu County,Completed
TXN006308,2025-12-17,BR011,CUST00687,PROD006,,526.4,Card,Kajiado,Completed
TXN010107,14/05/2025,BR002,CUST02362,PROD111,1,607.27,M-Pesa,Nairobi,Completed
TXN014511,2026-04-10,BR005,CUST00063,PROD063,1,489.01,Cash,Kiambu,Completed
TXN002728,2026-06-17,BR005,CUST02225,PROD004,,568.04,Card,Kiambu,Completed
TXN019507,2025-04-26,BR001,CUST00907,PROD089,3,91.76,M-Pesa,Nairobi,cancelled 
TXN014743,2025-10-23,BR005,CUST00068,PROD033,1,163.09,M-Pesa,Nbi,Completed
TXN012760,2025-06-07,BR010,CUST02071,PROD019,,235.69,Cash,Machakos,Completed
TXN014084,2026-03-28,BR007,CUST02345,PROD001,,205.96,M-Pesa,Mombasa,Completed
TXN004214,2025-01-28,BR001,,PROD025,4,54.46,M-Pesa,Nairobi,Completed
TXN000117,2026-06-04,BR005,CUST01242,PROD049,,538.77,Cash,Kiambu,Completed
TXN017784,2025-06-01,BR002,CUST02406,PROD067,,194.53,M-Pesa,Nairobi,Cancelled
TXN000520,20/06/2025,BR008,CUST02418,PROD101,2,2816.98,M-Pesa,Kisumu,Completed
TXN010600,2026-07-25,BR007,CUST02750,PROD083,4,163.1,M-Pesa,Mombasa,COMPLETED
TXN015851,2025-11-28,BR006,CUST02209,PROD012,8,KES 186.40,M-Pesa,Nakuru,Completed
TXN008338,2026-07-15,BR001,CUST01198,PROD093,8,904.0,Card,Nairobi,Completed
TXN010547,03/06/2025,BR009,CUST01163,PROD097,2,122.29,M-Pesa,Uasin Gishu,Completed
TXN017683,2026-08-08,BR006,CUST00051,PROD002,2,186.15,Card,Nakuru,Refund
TXN009124,2026-04-17,BR004,CUST01494,PROD077,,2036.67,M-Pesa,Kiambu,Completed
TXN013941,2026-02-28,BR002,CUST02346,PROD092,2,KES 288.43,Card,Nairobi,Completed
TXN014601,2026-08-15,BR009,CUST00391,PROD059,2,238.78,M-Pesa,Uasin Gishu,Completed
TXN001251,05/02/2026,BR004,CUST02954,PROD034,1,136.19,Card,Kiambu,Completed
TXN005365,2026-02-25,BR012,CUST02069,PROD067,2,190.34,M-Pesa,Kakamega,Completed
TXN001708,2025-03-09,BR012,,PROD089,1,92.93,M-Pesa,Kakamega,Completed
TXN005039,2025-07-21,BR001,CUST02035,PROD001,2,KES 204.85,M-Pesa,Nairobi,Completed
TXN010259,2025-04-20,BR002,CUST01724,PROD012,2,185.91,Card,Nairobi,Cancelled
TXN009471,05/11/2025,BR005,CUST01059,PROD059,3,239.46,M-Pesa,Kiambu,Completed
TXN003758,2026-02-03,BR001,CUST01262,PROD105,5,KES 340.30,M-Pesa,Nairobi,Completed
TXN017243,2025-09-26,BR008,,PROD042,4,238.13,M-Pesa,Kisumu,Completed
TXN018955,2025-04-27,BR001,CUST00765,PROD019,,238.98,M-Pesa,Nairobi,Completed
TXN014020,2025-07-11,BR002,CUST01134,PROD114,2,204.92,M-Pesa,Nairobi,Completed
TXN003212,2025-02-10,BR006,CUST02138,PROD066,8,205.76,M-Pesa,Nakuru,Completed
TXN015030,2026-03-30,BR001,CUST01358,PROD006,,520.47,M-Pesa,Nairobi,Refunded
TXN007714,2025-01-17,BR006,,PROD050,1,136.73,M-Pesa,Nakuru,Cancelled
TXN012636,2025-08-11,BR012,,PROD066,3,198.26,Card,Kakamega,Completed
TXN013476,2026-01-27,BR003,CUST01998,PROD110,1,70.23,M-Pesa,Nairobi,Refund
TXN002287,2025-05-18,BR005,CUST02067,PROD115,,173.39,Card,Kiambu,Completed
TXN011539,2025-02-01,BR005,CUST01311,PROD081,,922.31,Bank Transfer,Kiambu,Completed
TXN002980,2025-03-11,BR001,CUST02742,PROD045,1,1207.25,Cash,Nairobi,cancelled 
TXN007958,2025-07-21,BR001,CUST00823,PROD015,1,1132.03,M-Pesa,Nairobi,COMPLETED
TXN017072,2025-06-07,BR004,CUST00978,PROD055,,1532.41,Card,Kiambu,Completed
TXN014610,2026-04-18,BR001,CUST01294,PROD042,3,252.08,M-Pesa,Nairobi,Completed
TXN004621,2026-05-17,BR010,CUST02172,PROD018,3,252.23,M-Pesa,nairobi,Completed
TXN005100,2025-12-21,BR010,CUST00746,PROD109,,2327.91,Cash,Machakos,Completed
TXN004004,2026-08-25,BR008,CUST00549,PROD099,10,KES 341.89,Cash,Kisumu,Completed
TXN003256,2025-08-13,BR008,CUST01587,PROD107,2,496.08,M-Pesa,Kisumu,complete
TXN006037,2025-10-08,BR001,CUST01391,PROD004,2,580.6,M-Pesa,Nbi,Completed
TXN010028,2025-12-29,BR010,CUST02151,PROD106,1,306.5,M-Pesa,Nbi,Completed
TXN014481,2026-01-04,BR010,,PROD049,6,545.67,M-Pesa,Machakos,Completed
TXN018412,2025-01-24,BR006,CUST01876,PROD076,1,KES 314.57,M-Pesa,Nakuru,Completed
TXN017489,2026-08-24,BR004,CUST01668,PROD094,,72.06,M-Pesa,Kiambu,Completed
TXN007017,2025-09-18,BR006,CUST01848,PROD065,1,151.96,Bank Transfer,Nakuru,Completed
TXN012096,2025-05-18,BR003,CUST01104,PROD045,,1264.33,M-Pesa,Nairobi,Completed
TXN002418,2026-01-06,BR006,CUST01462,PROD061,,2100.92,Cash,Nakuru,Completed
TXN010957,2025-10-24,BR008,CUST02246,PROD120,2,1012.57,M-Pesa,Kisumu,Completed
TXN004846,2025-12-30,BR010,,PROD117,1,2502.05,M-Pesa,Machakos,Completed
TXN008252,2026-05-07,BR002,CUST02697,PROD042,1,KES 246.52,Bank Transfer,Nairobi,Completed
TXN016037,30/06/2026,BR004,CUST00534,PROD025,1,53.46,M-Pesa,Kiambu,Completed
TXN013869,2026-01-10,BR006,CUST02723,PROD108,1,166.74,Cash,Nbi,Refunded
TXN016663,2025-03-16,BR007,,PROD111,2,626.69,M-Pesa,Mombasa,Completed
TXN016077,2025-09-02,BR005,CUST00139,PROD009,2,301.79,Card,Kiambu,COMPLETED
TXN009979,2025-05-29,BR005,,PROD002,1,194.67,M-Pesa,Kiambu,Completed
TXN011043,2025-07-22,BR011,,PROD034,3,139.38,Card,Kajiado,Completed
TXN015432,2025-03-26,BR002,CUST01988,PROD076,4,KES 318.58,M-Pesa,Nairobi,Completed
TXN002484,2026-07-18,BR008,CUST01773,PROD073,1,KES 320.38,M-Pesa,Kisumu,Completed
TXN018945,2025-07-15,BR001,CUST02921,PROD061,,2178.35,Cash,Nairobi,Cancelled
TXN006899,2025-11-01,BR002,CUST01195,PROD051,2,214.41,Cash,Nairobi,COMPLETED
TXN001838,2025-05-29,BR008,CUST01890,PROD043,,315.01,Cash,Kisumu,Completed
TXN009304,2025-12-26,BR002,CUST02025,PROD027,,219.12,Card,Nairobi,Cancelled
TXN018802,2025-05-01,BR003,CUST00631,PROD023,2,1538.71,Cash,Nairobi,COMPLETED
TXN017307,2026-05-07,BR008,CUST02684,PROD113,,692.2,M-Pesa,Kisumu,Completed
TXN007111,2026-01-09,BR004,CUST02442,PROD044,4,335.04,Card,Kiambu,Completed
TXN019193,2025-09-13,BR001,,PROD117,1,2449.13,M-Pesa,Nairobi,Completed
TXN012601,19/04/2025,BR004,CUST00203,PROD103,2,552.17,Bank Transfer,Kiambu,Completed
TXN000636,2025-08-13,BR006,CUST01154,PROD053,3,4290.98,Card,Nakuru,Completed
TXN019264,26/03/2025,BR002,CUST00009,PROD001,5,217.32,M-Pesa,Nairobi,Completed
TXN008819,2026-04-01,BR009,CUST02348,PROD048,3,769.73,M-Pesa,Uasin Gishu,Completed
TXN004676,2025-03-21,BR009,,PROD065,2,145.58,M-Pesa,Uasin Gishu,Completed
TXN015086,2025-07-20,BR004,CUST03000,PROD044,1,324.72,M-Pesa,Kiambu,Completed
TXN010960,2026-04-25,BR003,CUST00770,PROD107,1,480.51,Bank Transfer,Nairobi,Completed
TXN016760,2025-01-17,BR009,CUST01337,PROD057,3,59.97,M-Pesa,Nbi,Completed
TXN006011,2025-08-29,BR003,CUST00609,PROD081,,909.46,M-Pesa,Nairobi,Completed
TXN001972,2026-03-06,BR006,CUST01937,PROD050,3,138.05,M-Pesa,Nakuru,COMPLETED
TXN009470,2025-03-21,BR009,CUST00228,PROD090,1,49.75,M-Pesa,Uasin Gishu,Refunded
TXN003369,01/01/2026,BR004,CUST01704,PROD026,6,92.9,Card,Kiambu,Completed
TXN019961,2025-10-16,BR010,CUST00300,PROD038,1,526.25,Cash,Machakos,Completed
TXN018223,2025-11-12,BR008,CUST00627,PROD042,1,240.33,M-Pesa,Kisumu,COMPLETED
TXN019633,2025-10-27,BR006,CUST01906,PROD060,1,KES 405.46,Cash,Nakuru,Completed
TXN007819,12/01/2025,BR010,CUST01496,PROD082,3,227.78,Cash,Machakos,Completed
TXN008181,20/11/2025,BR009,CUST01830,PROD109,8,2173.72,M-Pesa,Uasin Gishu,Completed
TXN005213,2025-07-29,BR001,CUST02153,PROD081,1,KES 916.93,Bank Transfer,Nairobi,Completed
TXN002141,2026-07-25,BR003,CUST00355,PROD098,2,151.28,Cash,Nairobi,Completed
TXN009686,2026-07-31,BR010,CUST01179,PROD065,,150.88,M-Pesa,Machakos,Completed
TXN019609,2025-08-15,BR001,CUST00525,PROD074,5,301.42,Card,Nairobi,Refund
TXN014956,2025-11-22,BR006,CUST02671,PROD027,2,KES 219.41,M-Pesa,Nakuru,Completed
TXN012588,2025-08-24,BR002,CUST02148,PROD111,3,600.25,Card,NAIROBI ,Completed
TXN014135,2026-08-25,BR010,CUST01158,PROD007,3,891.43,M-Pesa,NAIROBI ,Completed
TXN009641,2025-01-31,BR010,CUST00108,PROD031,2,KES 664.90,Card,Machakos,Cancelled
TXN014083,24/04/2025,BR007,CUST01195,PROD009,5,319.89,Bank Transfer,Mombasa,Completed
TXN008344,2025-07-26,BR007,CUST02372,PROD105,1,331.04,M-Pesa,Mombasa ,Completed
TXN016743,19/02/2025,BR008,CUST01875,PROD065,1,152.41,M-Pesa,Kisumu,Completed
TXN012781,21/04/2025,BR011,CUST01671,PROD017,2,656.13,M-Pesa,Kajiado,Completed
TXN008060,2025-04-07,BR002,,PROD008,4,506.91,M-Pesa,Nairobi,Completed
TXN006611,2026-08-27,BR003,,PROD059,1,232.86,M-Pesa,Nairobi,Completed
TXN013445,2026-07-16,BR008,,PROD051,2,215.89,M-Pesa,Kisumu,Cancelled
TXN004825,2025-03-01,BR001,CUST02181,PROD072,2,KES 628.72,M-Pesa,Nairobi,Completed
TXN002801,2025-09-20,BR006,CUST02561,PROD054,1,227.91,Card,Kiambu County,Completed
TXN013221,2026-04-27,BR010,,PROD090,2,48.81,Cash,Machakos,Completed
TXN001092,2026-07-19,BR007,CUST02871,PROD041,3,300.63,M-Pesa,Mombasa,Completed
TXN004213,2025-05-07,BR001,CUST02194,PROD058,1,88.4,M-Pesa,NAIROBI ,Completed
TXN004167,2026-05-08,BR009,CUST01824,PROD089,,89.19,M-Pesa,Uasin Gishu,Completed
TXN018438,2025-12-18,BR003,CUST01865,PROD080,,977.33,M-Pesa,Nairobi,Completed
TXN003007,2026-02-25,BR006,CUST02029,PROD014,,113.55,M-Pesa,Nakuru,Completed
TXN014961,08/03/2026,BR008,CUST02579,PROD081,1,933.0,M-Pesa,Kisumu,Completed
TXN015851,2025-11-28,BR006,CUST02209,PROD012,8,KES 186.40,M-Pesa,Nakuru,Completed
TXN002856,2026-03-03,BR012,CUST02689,PROD026,,89.8,Card,Kakamega,Completed
TXN015972,2026-07-18,BR010,,PROD111,3,612.77,M-Pesa,Machakos,Completed
TXN010679,2025-06-03,BR003,CUST02115,PROD088,,1278.04,Card,Nairobi,Completed
TXN010283,2025-04-28,BR003,,PROD105,2,346.79,Card,Nairobi,Completed
TXN001748,2025-04-15,BR008,,PROD113,2,737.59,M-Pesa,Kisumu,Completed
TXN014303,2026-06-13,BR001,CUST01474,PROD063,1,KES 476.15,M-Pesa,Nairobi,Completed
TXN013050,2025-04-12,BR007,CUST01253,PROD059,3,KES 236.35,M-Pesa,Mombasa,Completed
TXN015291,2025-11-01,BR001,CUST02903,PROD009,,303.41,M-Pesa,Nairobi,Cancelled
TXN009914,2025-11-23,BR008,CUST00491,PROD053,2,4159.85,M-Pesa,Kisumu ,Completed
TXN018837,2025-03-04,BR001,CUST01556,PROD034,,139.5,M-Pesa,Nairobi,Completed
TXN001353,2026-01-05,BR003,CUST01973,PROD051,6,KES 223.01,Bank Transfer,Nairobi,Completed
TXN013341,2026-06-21,BR009,,PROD111,2,593.77,Card,Uasin Gishu,Completed
TXN000211,2026-07-29,BR002,CUST01774,PROD057,1,60.2,Cash,Nairobi,COMPLETED
TXN007447,2025-03-02,BR010,CUST02434,PROD101,2,2845.45,Cash,Machakos,Completed
TXN014983,2025-11-08,BR003,CUST01214,PROD058,1,82.66,Bank Transfer,Nairobi,Completed
TXN016808,2025-02-15,BR002,CUST02669,PROD035,4,KES 391.78,Cash,Nairobi,Completed
TXN016559,21/04/2026,BR006,CUST02013,PROD016,1,638.0,M-Pesa,Nakuru,Completed
TXN017015,2025-01-24,BR011,CUST02542,PROD072,3,611.89,M-Pesa,Kajiado,Completed
TXN013987,25/08/2025,BR001,CUST00485,PROD105,1,342.28,M-Pesa,Nairobi,Completed
TXN016209,21/04/2026,BR004,CUST02566,PROD070,1,496.89,M-Pesa,Kiambu,Completed
TXN013281,2025-10-27,BR002,CUST02191,PROD045,1,1206.21,Card,nairobi,Completed
TXN017591,2025-02-04,BR004,CUST02597,PROD023,10,"KES 1,501.53",Cash,Kiambu,Completed
TXN014831,2026-06-04,BR006,,PROD028,1,398.22,M-Pesa,Nakuru,Completed
