Transaction_ID,Transaction_Date,Transaction_Time,Branch_ID,Customer_ID,Product_ID,Quantity,Unit_Price_KES,Discount_Percent,VAT_Percent,Payment_Method,Mpesa_Reference,Sales_Channel,Salesperson_ID,Delivery_Fee_KES,Order_Status,Gross_Sales_KES,Discount_Amount_KES,Net_Sales_KES,VAT_Amount_KES,Final_Revenue_KES
TXN000011,2026-01-13,20:04:01,BR005,CUST00621,PROD076,2,305.78,0.1,0.16,M-Pesa,OX7MZNXW7K,WhatsApp Order,EMP053,200,Completed,611.56,61.16,550.4,88.06,838.46
TXN000012,2026-07-28,09:35:09,BR006,CUST00353,PROD041,2,294.61,0,0.16,M-Pesa,W29YEVT7VV,Physical Store,EMP054,0,Completed,589.22,0.0,589.22,94.28,683.5
TXN000013,2025-07-07,10:34:39,BR011,CUST02852,PROD058,1,83.52,0,0.16,Card,,Physical Store,EMP059,0,Completed,83.52,0.0,83.52,13.36,96.88
TXN000014,2025-10-18,16:24:06,BR011,CUST02794,PROD040,2,406.02,0.15,0.16,M-Pesa,JU1VEB40VR,Physical Store,EMP023,0,Completed,812.04,121.81,690.23,110.44,800.67
TXN000015,2025-09-27,13:16:11,BR003,CUST02432,PROD042,4,250.27,0.05,0.16,Card,,Physical Store,EMP039,0,Completed,1001.08,50.05,951.03,152.16,1103.19
TXN000016,2025-10-25,09:12:44,BR010,CUST00445,PROD120,1,1029.9,0,0.16,M-Pesa,56UPCJSIKU,Physical Store,EMP058,0,Completed,1029.9,0.0,1029.9,164.78,1194.68
TXN000017,2025-05-09,17:55:34,BR002,CUST00637,PROD065,2,153.08,0.1,0.16,Bank Transfer,,Physical Store,EMP050,0,Refunded,306.16,30.62,275.54,44.09,-319.63
TXN000018,2025-05-20,10:52:58,BR012,CUST02190,PROD042,5,241.31,0.05,0.16,M-Pesa,A3YM5K153U,Physical Store,EMP048,0,Completed,1206.55,60.33,1146.22,183.4,1329.62
TXN000019,2025-01-18,17:34:09,BR009,CUST00888,PROD033,4,163.45,0.15,0.16,M-Pesa,4AWZZSIHIJ,WhatsApp Order,EMP021,300,Completed,653.8,98.07,555.73,88.92,944.65
TXN000020,2026-03-16,10:22:08,BR012,CUST00892,PROD066,4,201.93,0,0.16,M-Pesa,DNFNUO7ZOV,Online,EMP024,150,Completed,807.72,0.0,807.72,129.24,1086.96
TXN000021,2025-02-27,15:15:44,BR002,CUST00942,PROD083,1,162.04,0.1,0.16,M-Pesa,9J48SRYHY8,Online,EMP026,200,Completed,162.04,16.2,145.84,23.33,369.17
TXN000022,2025-06-06,09:27:04,BR009,CUST00475,PROD006,2,515.28,0,0.16,Card,,Physical Store,EMP033,0,Completed,1030.56,0.0,1030.56,164.89,1195.45
TXN000023,2025-05-04,09:36:45,BR009,CUST02316,PROD067,2,196.89,0.1,0.16,Cash,,Online,EMP009,300,Completed,393.78,39.38,354.4,56.7,711.1
TXN000024,2025-05-10,19:20:12,BR003,CUST01836,PROD048,1,775.69,0.05,0.16,Card,,Physical Store,EMP027,0,Completed,775.69,38.78,736.91,117.91,854.82
TXN000025,2026-06-24,17:27:16,BR001,CUST01805,PROD013,2,2156.96,0,0.16,Cash,,WhatsApp Order,EMP013,400,Completed,4313.92,0.0,4313.92,690.23,5404.15
TXN000026,2026-03-12,15:57:58,BR007,CUST01011,PROD024,1,818.94,0.05,0.16,Bank Transfer,,Physical Store,EMP055,0,Completed,818.94,40.95,777.99,124.48,902.47
TXN000027,2026-02-07,10:29:16,BR002,CUST02110,PROD067,2,184.92,0,0.16,Cash,,Physical Store,EMP050,0,Completed,369.84,0.0,369.84,59.17,429.01
TXN000028,2025-07-30,14:53:29,BR010,CUST00479,PROD026,4,89.33,0,0.16,Card,,Physical Store,EMP022,0,Cancelled,357.32,0.0,357.32,57.17,0
TXN000029,2026-02-21,18:44:32,BR011,CUST00145,PROD016,1,631.95,0.1,0.16,Card,,Physical Store,EMP059,0,Completed,631.95,63.2,568.75,91.0,659.75
TXN000030,2026-06-28,15:20:25,BR006,CUST00859,PROD075,10,328.55,0,0.16,M-Pesa,VLCO5D1WIV,Physical Store,EMP054,0,Completed,3285.5,0.0,3285.5,525.68,3811.18
TXN000031,2026-03-11,10:45:28,BR006,CUST02722,PROD056,5,1151.12,0,0.16,Cash,,Physical Store,EMP030,0,Completed,5755.6,0.0,5755.6,920.9,6676.5
TXN000032,2025-04-14,13:23:02,BR003,CUST00289,PROD025,1,55.11,0,0.16,Cash,,Physical Store,EMP027,0,Completed,55.11,0.0,55.11,8.82,63.93
TXN000033,2026-08-01,19:17:36,BR009,CUST00691,PROD054,2,228.43,0.05,0.16,Cash,,Physical Store,EMP057,0,Completed,456.86,22.84,434.02,69.44,503.46
TXN000034,2025-01-06,16:30:53,BR011,CUST02112,PROD014,2,108.87,0,0.16,Cash,,Online,EMP011,250,Completed,217.74,0.0,217.74,34.84,502.58
TXN000035,2025-01-05,09:01:21,BR006,CUST01214,PROD043,3,305.74,0.1,0.16,M-Pesa,G8UU7C0TPK,Physical Store,EMP018,0,Completed,917.22,91.72,825.5,132.08,957.58
TXN000036,2025-06-03,16:37:17,BR001,CUST00764,PROD087,1,2390.53,0.1,0.16,M-Pesa,51MUK4XNBU,Physical Store,EMP049,0,Completed,2390.53,239.05,2151.48,344.24,2495.72
TXN000037,2026-06-11,19:56:45,BR006,CUST00180,PROD099,6,339.35,0.05,0.16,M-Pesa,FKSLWVFMCI,Physical Store,EMP030,0,Completed,2036.1,101.81,1934.29,309.49,2243.78
TXN000038,2025-10-12,17:46:03,BR001,CUST00133,PROD035,2,390.94,0.05,0.16,M-Pesa,JDS2SFYEAM,Physical Store,EMP049,0,Completed,781.88,39.09,742.79,118.85,861.64
TXN000039,2025-04-10,20:36:44,BR003,CUST02745,PROD085,3,2129.77,0.05,0.16,M-Pesa,4PFYYB74E3,Physical Store,EMP027,0,Completed,6389.31,319.47,6069.84,971.17,7041.01
TXN000040,2026-07-06,08:22:48,BR007,CUST01904,PROD036,1,580.27,0.15,0.16,Card,,Online,EMP031,250,Completed,580.27,87.04,493.23,78.92,822.15
TXN000041,2026-02-28,17:04:52,BR001,CUST01291,PROD059,4,233.3,0.05,0.16,M-Pesa,U8MUR9ZBQ8,Online,EMP037,150,Completed,933.2,46.66,886.54,141.85,1178.39
TXN000042,2025-04-25,16:35:19,BR006,CUST02354,PROD033,1,164.31,0.1,0.16,M-Pesa,SU6KS0BN1T,Physical Store,EMP006,0,Completed,164.31,16.43,147.88,23.66,171.54
TXN000043,2026-08-08,14:56:23,BR006,CUST02127,PROD066,2,200.19,0,0.16,M-Pesa,131794ANMK,Physical Store,EMP006,0,Completed,400.38,0.0,400.38,64.06,464.44
TXN000044,2025-08-10,10:40:21,BR002,CUST01179,PROD043,3,325.53,0.1,0.16,Bank Transfer,,Physical Store,EMP026,0,Completed,976.59,97.66,878.93,140.63,1019.56
TXN000045,2025-04-03,14:11:26,BR002,CUST00701,PROD089,1,93.16,0,0.16,Card,,Physical Store,EMP038,0,Completed,93.16,0.0,93.16,14.91,108.07
TXN000046,2025-07-14,16:10:18,BR005,CUST01249,PROD004,1,587.58,0.15,0.16,M-Pesa,MB1531345T,Physical Store,EMP005,0,Completed,587.58,88.14,499.44,79.91,579.35
TXN000047,2025-12-27,11:27:38,BR012,CUST00715,PROD083,3,165.32,0,0.16,Cash,,Physical Store,EMP024,0,Completed,495.96,0.0,495.96,79.35,575.31
TXN000048,2025-01-05,08:39:31,BR004,CUST00875,PROD083,2,156.28,0,0.16,Card,,Physical Store,EMP028,0,Completed,312.56,0.0,312.56,50.01,362.57
TXN000049,2026-02-23,09:49:59,BR007,CUST02795,PROD072,1,597.93,0.15,0.16,M-Pesa,P1F2Q5PE8M,Physical Store,EMP007,0,Completed,597.93,89.69,508.24,81.32,589.56
TXN000050,2025-08-09,13:59:04,BR010,CUST01475,PROD082,4,216.22,0.15,0.16,M-Pesa,O0JMIW2NHZ,Online,EMP010,150,Completed,864.88,129.73,735.15,117.62,1002.77
TXN000051,2026-06-27,10:52:38,BR011,CUST01544,PROD010,1,318.9,0.1,0.16,Card,,Physical Store,EMP023,0,Cancelled,318.9,31.89,287.01,45.92,0
TXN000052,2025-01-11,10:16:54,BR002,CUST02118,PROD011,3,523.94,0.1,0.16,Card,,Online,EMP002,150,Completed,1571.82,157.18,1414.64,226.34,1790.98
TXN000053,2026-03-23,10:58:54,BR005,CUST00751,PROD066,2,196.35,0.1,0.16,M-Pesa,73TN4XGHD1,Online,EMP041,400,Completed,392.7,39.27,353.43,56.55,809.98
TXN000054,2026-07-26,15:19:34,BR007,CUST00868,PROD103,1,582.51,0,0.16,Card,,Physical Store,EMP031,0,Completed,582.51,0.0,582.51,93.2,675.71
TXN000055,2025-10-30,13:05:30,BR003,CUST00174,PROD034,4,134.72,0.05,0.16,M-Pesa,ETZXVKDRAA,Physical Store,EMP015,0,Completed,538.88,26.94,511.94,81.91,593.85
TXN000056,2025-05-07,12:33:07,BR012,CUST00193,PROD032,5,2285.75,0.05,0.16,M-Pesa,MXKG7JNXE0,Online,EMP048,400,Completed,11428.75,571.44,10857.31,1737.17,12994.48
TXN000057,2025-03-24,14:01:45,BR004,CUST01502,PROD041,2,309.07,0.05,0.16,M-Pesa,YK2VRH0JOB,Physical Store,EMP040,0,Completed,618.14,30.91,587.23,93.96,681.19
TXN000058,2025-09-07,08:34:25,BR007,CUST01582,PROD036,1,589.92,0.05,0.16,M-Pesa,V6334MRMYG,Physical Store,EMP031,0,Completed,589.92,29.5,560.42,89.67,650.09
TXN000059,2026-08-12,18:40:12,BR001,CUST01052,PROD017,3,620.11,0.05,0.16,Bank Transfer,,Physical Store,EMP049,0,Completed,1860.33,93.02,1767.31,282.77,2050.08
TXN000060,2026-01-24,09:57:46,BR007,CUST00711,PROD090,10,51.27,0.1,0.16,M-Pesa,DTBI0Q32C7,Online,EMP031,250,Completed,512.7,51.27,461.43,73.83,785.26
TXN000061,2026-05-10,12:46:00,BR002,CUST01937,PROD070,3,506.66,0.05,0.16,Card,,WhatsApp Order,EMP002,350,Completed,1519.98,76.0,1443.98,231.04,2025.02
TXN000062,2026-01-27,20:33:44,BR008,CUST01207,PROD086,3,251.35,0,0.16,M-Pesa,8FVIH0RBF7,Physical Store,EMP032,0,Completed,754.05,0.0,754.05,120.65,874.7
TXN000063,2026-03-06,11:02:16,BR001,CUST00299,PROD028,2,398.25,0,0.16,M-Pesa,I301W74A6C,Physical Store,EMP037,0,Completed,796.5,0.0,796.5,127.44,923.94
TXN000064,2025-08-31,08:01:58,BR008,CUST02078,PROD049,1,555.41,0,0.16,M-Pesa,UEZE0KFS1J,Physical Store,EMP032,0,Completed,555.41,0.0,555.41,88.87,644.28
TXN000065,2026-02-28,09:18:56,BR006,CUST00062,PROD001,2,217.66,0,0.16,Cash,,Online,EMP018,300,Completed,435.32,0.0,435.32,69.65,804.97
TXN000066,2025-07-20,20:13:06,BR003,CUST01164,PROD017,2,653.04,0.1,0.16,Cash,,Physical Store,EMP027,0,Completed,1306.08,130.61,1175.47,188.08,1363.55
TXN000067,2025-06-03,14:17:45,BR003,CUST02835,PROD084,3,97.64,0,0.16,M-Pesa,XZ7GEK91VE,Online,EMP003,150,Completed,292.92,0.0,292.92,46.87,489.79
TXN000068,2026-02-21,08:37:59,BR006,CUST00049,PROD090,4,48.57,0.1,0.16,Card,,Online,EMP018,150,Completed,194.28,19.43,174.85,27.98,352.83
TXN000069,2025-06-04,13:44:36,BR011,CUST01928,PROD095,2,285.15,0,0.16,M-Pesa,B6DKJX7GAY,Physical Store,EMP035,0,Completed,570.3,0.0,570.3,91.25,661.55
TXN000070,2026-03-19,14:21:08,BR001,CUST02108,PROD081,2,892.2,0,0.16,Cash,,Physical Store,EMP001,0,Completed,1784.4,0.0,1784.4,285.5,2069.9
TXN000071,2025-10-03,19:23:11,BR007,CUST00871,PROD034,2,134.78,0,0.16,Card,,Physical Store,EMP007,0,Completed,269.56,0.0,269.56,43.13,312.69
TXN000072,2026-05-05,09:54:52,BR001,CUST00946,PROD050,2,141.81,0,0.16,Card,,Physical Store,EMP037,0,Completed,283.62,0.0,283.62,45.38,329.0
TXN000073,2026-01-14,10:45:45,BR001,CUST00507,PROD050,5,144.07,0.1,0.16,Bank Transfer,,Physical Store,EMP049,0,Completed,720.35,72.04,648.31,103.73,752.04
TXN000074,2026-02-02,13:09:45,BR007,CUST00695,PROD026,2,90.74,0,0.16,Card,,Physical Store,EMP007,0,Completed,181.48,0.0,181.48,29.04,210.52
TXN000075,2026-02-15,11:05:42,BR006,CUST00132,PROD098,2,149.82,0,0.16,M-Pesa,Y7I9DKA0IH,Physical Store,EMP042,0,Cancelled,299.64,0.0,299.64,47.94,0
TXN000076,2025-02-12,20:55:01,BR007,CUST00926,PROD014,1,109.89,0,0.16,M-Pesa,D4B1ZKW0HT,Physical Store,EMP007,0,Completed,109.89,0.0,109.89,17.58,127.47
TXN000077,2026-03-01,10:39:59,BR005,CUST01155,PROD106,2,298.33,0.15,0.16,M-Pesa,8L1PC2R795,Online,EMP053,300,Completed,596.66,89.5,507.16,81.15,888.31
TXN000078,2026-05-26,12:28:49,BR001,CUST02902,PROD087,2,2415.86,0.1,0.16,M-Pesa,HHLZB52XCQ,Physical Store,EMP013,0,Completed,4831.72,483.17,4348.55,695.77,5044.32
TXN000079,2026-01-14,16:20:36,BR011,CUST01214,PROD107,5,491.59,0,0.16,M-Pesa,TM7Q9EUFY9,Online,EMP035,250,Completed,2457.95,0.0,2457.95,393.27,3101.22
TXN000080,2026-01-19,10:20:27,BR008,CUST00402,PROD081,8,873.74,0.05,0.16,Card,,Physical Store,EMP008,0,Completed,6989.92,349.5,6640.42,1062.47,7702.89
TXN000081,2025-10-19,19:51:59,BR005,CUST00896,PROD079,10,1150.73,0,0.16,M-Pesa,VCU08H4VEU,WhatsApp Order,EMP017,200,Completed,11507.3,0.0,11507.3,1841.17,13548.47
TXN000082,2025-01-31,11:10:21,BR007,CUST02534,PROD092,4,300.68,0.05,0.16,Cash,,WhatsApp Order,EMP007,400,Completed,1202.72,60.14,1142.58,182.81,1725.39
TXN000083,2025-05-26,11:13:43,BR008,CUST01375,PROD059,3,246.32,0.1,0.16,Cash,,Physical Store,EMP044,0,Completed,738.96,73.9,665.06,106.41,771.47
TXN000084,2025-09-27,09:39:08,BR002,CUST01353,PROD116,10,227.3,0,0.16,M-Pesa,184ZAUDVMF,Physical Store,EMP026,0,Completed,2273.0,0.0,2273.0,363.68,2636.68
TXN000085,2025-12-18,13:29:04,BR011,CUST00956,PROD032,1,2320.55,0,0.16,M-Pesa,RKXECCHFSP,Online,EMP035,250,Completed,2320.55,0.0,2320.55,371.29,2941.84
TXN000086,2026-06-08,19:23:30,BR005,CUST01262,PROD099,8,339.5,0,0.16,M-Pesa,QZE65LV7ME,Physical Store,EMP041,0,Completed,2716.0,0.0,2716.0,434.56,3150.56
TXN000087,2026-02-06,20:06:29,BR002,CUST01376,PROD063,2,477.7,0,0.16,M-Pesa,072EHWXFP6,Physical Store,EMP026,0,Completed,955.4,0.0,955.4,152.86,1108.26
TXN000088,2025-12-08,18:37:08,BR009,CUST01289,PROD086,2,249.18,0,0.16,M-Pesa,HQF7MN8D39,Physical Store,EMP033,0,Completed,498.36,0.0,498.36,79.74,578.1
TXN000089,2025-04-26,18:51:31,BR007,CUST01317,PROD009,2,306.25,0,0.16,Card,,Physical Store,EMP031,0,Completed,612.5,0.0,612.5,98.0,710.5
TXN000090,2026-01-03,17:06:27,BR001,CUST01924,PROD032,1,2232.9,0.1,0.16,Card,,Physical Store,EMP037,0,Completed,2232.9,223.29,2009.61,321.54,2331.15
TXN000091,2025-02-28,19:10:29,BR001,CUST00242,PROD075,1,337.99,0.15,0.16,Cash,,Online,EMP013,400,Completed,337.99,50.7,287.29,45.97,733.26
TXN000092,2025-10-01,19:02:31,BR011,CUST02482,PROD072,2,612.37,0,0.16,M-Pesa,TZ7QFQ4UCL,Online,EMP059,250,Completed,1224.74,0.0,1224.74,195.96,1670.7
TXN000093,2025-12-25,13:42:49,BR001,CUST00727,PROD018,1,252.17,0,0.16,M-Pesa,432Q0AXAW2,WhatsApp Order,EMP013,300,Completed,252.17,0.0,252.17,40.35,592.52
TXN000094,2026-03-15,18:14:39,BR001,CUST00841,PROD065,5,150.08,0.1,0.16,M-Pesa,CF83DKSI6Z,Physical Store,EMP025,0,Completed,750.4,75.04,675.36,108.06,783.42
TXN000095,2025-02-20,08:32:38,BR003,CUST01852,PROD070,3,503.75,0,0.16,Bank Transfer,,Online,EMP039,200,Completed,1511.25,0.0,1511.25,241.8,1953.05
TXN000096,2025-05-10,14:10:33,BR002,CUST01100,PROD008,3,491.88,0.05,0.16,M-Pesa,LQNQYQIKP7,Online,EMP050,0,Cancelled,1475.64,73.78,1401.86,224.3,0
TXN000097,2026-03-24,18:18:09,BR012,CUST00710,PROD098,2,147.3,0,0.16,M-Pesa,N0BSEEUO95,Physical Store,EMP036,0,Completed,294.6,0.0,294.6,47.14,341.74
TXN000098,2026-07-02,15:01:58,BR007,CUST00001,PROD026,3,93.12,0,0.16,Cash,,Online,EMP043,350,Completed,279.36,0.0,279.36,44.7,674.06
TXN000099,2026-08-11,17:53:39,BR002,CUST02087,PROD114,3,206.38,0.05,0.16,Card,,Physical Store,EMP026,0,Completed,619.14,30.96,588.18,94.11,682.29
TXN000100,2025-09-16,12:41:58,BR001,CUST00337,PROD058,2,83.43,0,0.16,Cash,,Online,EMP001,300,Completed,166.86,0.0,166.86,26.7,493.56
TXN000101,2025-10-19,08:57:13,BR012,CUST00754,PROD046,2,101.71,0,0.16,M-Pesa,8Q8UXWEL4D,Physical Store,EMP036,0,Refunded,203.42,0.0,203.42,32.55,-235.97
TXN000102,2026-07-12,18:01:41,BR010,CUST00833,PROD115,1,174.9,0.05,0.16,M-Pesa,XE69FUSFH1,WhatsApp Order,EMP034,300,Completed,174.9,8.75,166.15,26.58,492.73
TXN000103,2025-08-02,14:32:02,BR002,CUST00951,PROD085,8,2042.27,0.15,0.16,Bank Transfer,,Physical Store,EMP014,0,Completed,16338.16,2450.72,13887.44,2221.99,16109.43
TXN000104,2025-12-08,09:49:46,BR003,CUST02240,PROD115,1,172.16,0.05,0.16,Cash,,Physical Store,EMP039,0,Completed,172.16,8.61,163.55,26.17,189.72
TXN000105,2026-04-27,08:42:20,BR005,CUST02131,PROD063,3,467.21,0,0.16,M-Pesa,255P9RJB2F,Physical Store,EMP017,0,Completed,1401.63,0.0,1401.63,224.26,1625.89
TXN000106,2025-07-16,14:27:40,BR006,CUST00472,PROD044,5,342.11,0.05,0.16,Bank Transfer,,Physical Store,EMP006,0,Completed,1710.55,85.53,1625.02,260.0,1885.02
TXN000107,2025-04-22,19:04:16,BR006,CUST01053,PROD022,2,181.03,0,0.16,M-Pesa,I0L4QHCTEK,Physical Store,EMP018,0,Completed,362.06,0.0,362.06,57.93,419.99
TXN000108,2025-08-30,18:24:31,BR008,CUST00095,PROD073,1,321.68,0.15,0.16,M-Pesa,MGEHDNFO80,Online,EMP056,150,Completed,321.68,48.25,273.43,43.75,467.18
TXN000109,2026-03-23,17:51:20,BR001,CUST00923,PROD087,1,2282.94,0.05,0.16,M-Pesa,NW6DT6W4IM,Online,EMP025,150,Completed,2282.94,114.15,2168.79,347.01,2665.8
TXN000110,2025-08-25,19:57:02,BR004,CUST02573,PROD060,10,419.12,0,0.16,Cash,,WhatsApp Order,EMP016,150,Completed,4191.2,0.0,4191.2,670.59,5011.79
TXN000111,2025-09-21,20:46:34,BR002,CUST00379,PROD102,1,508.86,0,0.16,M-Pesa,JX6I6LM1YS,Physical Store,EMP050,0,Completed,508.86,0.0,508.86,81.42,590.28
TXN000112,2026-08-02,19:37:38,BR009,CUST02228,PROD114,2,210.16,0.05,0.16,M-Pesa,MMYZRO5ASO,Physical Store,EMP057,0,Completed,420.32,21.02,399.3,63.89,463.19
TXN000113,2026-06-09,11:59:09,BR008,CUST00028,PROD047,1,590.41,0.1,0.16,M-Pesa,64UX7ZJ6NI,Physical Store,EMP044,0,Completed,590.41,59.04,531.37,85.02,616.39
TXN000114,2025-02-01,10:16:38,BR002,CUST02780,PROD050,1,141.04,0,0.16,M-Pesa,JPK4C636CS,Physical Store,EMP002,0,Completed,141.04,0.0,141.04,22.57,163.61
TXN000115,2025-01-20,18:05:10,BR001,CUST00635,PROD112,2,975.19,0.05,0.16,Bank Transfer,,WhatsApp Order,EMP001,350,Completed,1950.38,97.52,1852.86,296.46,2499.32
TXN000116,2026-01-12,15:04:33,BR005,CUST00366,PROD029,2,2071.99,0,0.16,M-Pesa,90X3KMSFVL,Online,EMP053,400,Completed,4143.98,0.0,4143.98,663.04,5207.02
TXN000117,2026-06-04,17:53:53,BR005,CUST01242,PROD049,3,538.77,0.05,0.16,Cash,,Physical Store,EMP029,0,Completed,1616.31,80.82,1535.49,245.68,1781.17
TXN000118,2026-03-24,09:36:32,BR009,CUST00414,PROD059,1,245.49,0.1,0.16,Card,,Online,EMP033,0,Refunded,245.49,24.55,220.94,35.35,-256.29
TXN000119,2026-08-02,14:34:57,BR005,CUST01740,PROD041,8,298.61,0.05,0.16,Cash,,WhatsApp Order,EMP053,200,Completed,2388.88,119.44,2269.44,363.11,2832.55
TXN000120,2025-03-24,11:23:41,BR003,CUST02660,PROD017,2,619.15,0,0.16,M-Pesa,LROUPY3BXZ,Physical Store,EMP015,0,Completed,1238.3,0.0,1238.3,198.13,1436.43
TXN000121,2025-12-01,09:23:56,BR010,CUST01618,PROD070,5,504.5,0.05,0.16,M-Pesa,ULO752SOBB,Online,EMP058,350,Completed,2522.5,126.12,2396.38,383.42,3129.8
TXN000122,2025-05-15,10:27:34,BR004,CUST01927,PROD009,2,303.15,0,0.16,Card,,Physical Store,EMP004,0,Completed,606.3,0.0,606.3,97.01,703.31
TXN000123,2025-01-18,13:39:48,BR004,CUST01472,PROD110,4,67.92,0.1,0.16,M-Pesa,YT70AA8C2A,Online,EMP040,150,Completed,271.68,27.17,244.51,39.12,433.63
TXN000124,2026-06-30,13:44:32,BR001,CUST01043,PROD108,1,163.59,0,0.16,M-Pesa,A7S40Q3NQX,WhatsApp Order,EMP025,300,Completed,163.59,0.0,163.59,26.17,489.76
TXN000125,2026-08-18,11:19:22,BR012,CUST01382,PROD117,1,2527.83,0,0.16,M-Pesa,6QKGPFCPIS,Physical Store,EMP024,0,Completed,2527.83,0.0,2527.83,404.45,2932.28
TXN000126,2026-01-27,20:01:15,BR002,CUST02275,PROD059,3,248.2,0.05,0.16,Card,,Physical Store,EMP038,0,Completed,744.6,37.23,707.37,113.18,820.55
TXN000127,2025-12-23,09:56:45,BR002,CUST01357,PROD015,2,1171.92,0.15,0.16,Cash,,Physical Store,EMP050,0,Completed,2343.84,351.58,1992.26,318.76,2311.02
TXN000128,2026-03-03,18:12:52,BR003,CUST01692,PROD032,6,2277.99,0,0.16,Card,,Physical Store,EMP051,0,Completed,13667.94,0.0,13667.94,2186.87,15854.81
TXN000129,2026-02-21,09:58:25,BR001,CUST02074,PROD004,3,590.11,0,0.16,M-Pesa,RCPKK0NHV3,Physical Store,EMP037,0,Cancelled,1770.33,0.0,1770.33,283.25,0
TXN000130,2025-11-12,12:27:28,BR012,CUST02326,PROD062,3,102.17,0.15,0.16,M-Pesa,D5DYYNBOXT,Physical Store,EMP024,0,Completed,306.51,45.98,260.53,41.68,302.21
TXN000131,2026-07-30,15:07:45,BR005,CUST01720,PROD035,1,392.94,0,0.16,M-Pesa,FAK4ASLLMO,Physical Store,EMP041,0,Completed,392.94,0.0,392.94,62.87,455.81
TXN000132,2025-09-14,19:16:55,BR011,CUST00108,PROD054,2,228.71,0.1,0.16,M-Pesa,MO8P8VEQOA,Physical Store,EMP059,0,Completed,457.42,45.74,411.68,65.87,477.55
TXN000133,2025-12-13,18:36:49,BR009,CUST02349,PROD013,2,2185.91,0.05,0.16,Cash,,Physical Store,EMP009,0,Completed,4371.82,218.59,4153.23,664.52,4817.75
TXN000134,2025-12-17,13:43:12,BR007,CUST01063,PROD093,2,922.68,0.05,0.16,M-Pesa,JRJR2JBZQR,Physical Store,EMP031,0,Completed,1845.36,92.27,1753.09,280.49,2033.58
TXN000135,2025-09-13,13:51:39,BR001,CUST01785,PROD002,1,195.19,0.05,0.16,M-Pesa,DLU3CKZQWX,Physical Store,EMP037,0,Completed,195.19,9.76,185.43,29.67,215.1
TXN000136,2025-08-04,09:35:28,BR003,CUST00011,PROD106,1,292.02,0.05,0.16,M-Pesa,60RSVFXMUX,Physical Store,EMP051,0,Completed,292.02,14.6,277.42,44.39,321.81
TXN000137,2026-08-25,20:11:32,BR003,CUST02763,PROD026,1,91.65,0.1,0.16,Cash,,Physical Store,EMP003,0,Cancelled,91.65,9.17,82.48,13.2,0
TXN000138,2025-02-04,16:00:55,BR001,CUST02885,PROD058,2,86.93,0.15,0.16,M-Pesa,22TA8127IJ,Physical Store,EMP001,0,Completed,173.86,26.08,147.78,23.64,171.42
TXN000139,2026-08-16,17:26:56,BR012,CUST01193,PROD025,2,56.47,0,0.16,Cash,,Physical Store,EMP024,0,Completed,112.94,0.0,112.94,18.07,131.01
TXN000140,2026-01-09,17:26:19,BR003,CUST02433,PROD089,3,90.21,0,0.16,M-Pesa,01Y56LW1AB,Physical Store,EMP051,0,Completed,270.63,0.0,270.63,43.3,313.93
