Expense_ID,Date,Branch_ID,Expense_Category,Amount_KES,Payment_Status
EXP000093,2025-01-06,BR012,Marketing,48571.62,Paid
EXP000094,2025-01-15,BR012,Security,19013.31,Paid
EXP000095,2025-01-12,BR012,Maintenance,48251.23,Pending
EXP000096,2025-01-06,BR012,Staff Welfare,32763.78,Pending
EXP000097,2025-02-03,BR001,Rent,422959.53,Paid
EXP000098,2025-02-04,BR001,Electricity,35710.35,Pending
EXP000099,2025-02-12,BR001,Internet,23532.51,Paid
EXP000100,2025-02-08,BR001,Transport,31591.93,Paid
EXP000101,2025-02-07,BR001,Marketing,16491.36,Pending
EXP000102,2025-02-04,BR001,Security,41782.8,Paid
EXP000103,2025-02-14,BR001,Maintenance,7058.34,Paid
EXP000104,2025-02-01,BR001,Staff Welfare,10159.56,Paid
EXP000105,2025-02-21,BR002,Rent,408597.85,Paid
EXP000106,2025-02-14,BR002,Electricity,35801.98,Paid
EXP000107,2025-02-18,BR002,Internet,12773.97,Paid
EXP000108,2025-02-24,BR002,Transport,66145.39,Paid
EXP000109,2025-02-12,BR002,Marketing,86195.18,Paid
EXP000110,2025-02-14,BR002,Security,33642.6,Paid
EXP000111,2025-02-26,BR002,Maintenance,35455.12,Paid
EXP000112,2025-02-21,BR002,Staff Welfare,13229.95,Paid
EXP000113,2025-02-26,BR003,Rent,243467.25,Paid
EXP000114,2025-02-24,BR003,Electricity,34737.75,Pending
EXP000115,2025-02-18,BR003,Internet,26694.03,Paid
EXP000116,2025-02-11,BR003,Transport,53088.33,Paid
EXP000117,2025-02-16,BR003,Marketing,21354.56,Paid
EXP000118,2025-02-08,BR003,Security,19606.75,Paid
EXP000119,2025-02-26,BR003,Maintenance,19589.35,Paid
EXP000120,2025-02-18,BR003,Staff Welfare,32632.31,Pending
EXP000121,2025-02-13,BR004,Rent,172298.5,Paid
EXP000122,2025-02-09,BR004,Electricity,81516.35,Paid
EXP000123,2025-02-22,BR004,Internet,22816.29,Paid
EXP000124,2025-02-04,BR004,Transport,38682.47,Paid
EXP000125,2025-02-12,BR004,Marketing,63996.89,Paid
EXP000126,2025-02-20,BR004,Security,38781.95,Paid
EXP000127,2025-02-02,BR004,Maintenance,30189.41,Paid
EXP000128,2025-02-11,BR004,Staff Welfare,20132.28,Paid
EXP000129,2025-02-19,BR005,Rent,213700.11,Paid
EXP000130,2025-02-18,BR005,Electricity,27944.99,Paid
EXP000131,2025-02-03,BR005,Internet,19800.31,Paid
EXP000132,2025-02-05,BR005,Transport,40389.93,Pending
EXP000133,2025-02-04,BR005,Marketing,67665.31,Paid
EXP000134,2025-02-01,BR005,Security,34967.35,Pending
EXP000135,2025-02-08,BR005,Maintenance,27368.88,Paid
EXP000136,2025-02-03,BR005,Staff Welfare,23731.08,Pending
EXP000137,2025-02-11,BR006,Rent,247860.25,Pending
EXP000138,2025-02-12,BR006,Electricity,30214.96,Paid
EXP000139,2025-02-04,BR006,Internet,12945.71,Pending
EXP000140,2025-02-13,BR006,Transport,25229.31,Pending
EXP000141,2025-02-17,BR006,Marketing,16152.44,Paid
EXP000142,2025-02-19,BR006,Security,39906.92,Paid
EXP000143,2025-02-25,BR006,Maintenance,28235.94,Paid
EXP000144,2025-02-17,BR006,Staff Welfare,33908.67,Paid
EXP000145,2025-02-23,BR007,Rent,279285.14,Paid
EXP000146,2025-02-11,BR007,Electricity,67994.63,Pending
EXP000147,2025-02-02,BR007,Internet,25354.42,Paid
EXP000148,2025-02-08,BR007,Transport,50222.22,Paid
EXP000149,2025-02-23,BR007,Marketing,28725.83,Paid
EXP000150,2025-02-24,BR007,Security,28858.4,Paid
EXP000151,2025-02-04,BR007,Maintenance,9987.29,Pending
EXP000152,2025-02-10,BR007,Staff Welfare,30671.55,Paid
EXP000153,2025-02-01,BR008,Rent,225598.77,Paid
EXP000154,2025-02-20,BR008,Electricity,76997.08,Paid
EXP000155,2025-02-25,BR008,Internet,15692.75,Paid
EXP000156,2025-02-11,BR008,Transport,44257.01,Paid
EXP000157,2025-02-04,BR008,Marketing,14649.97,Paid
EXP000158,2025-02-13,BR008,Security,32759.55,Paid
EXP000159,2025-02-11,BR008,Maintenance,15217.47,Paid
EXP000160,2025-02-14,BR008,Staff Welfare,13204.0,Paid
EXP000161,2025-02-16,BR009,Rent,209273.98,Paid
EXP000162,2025-02-06,BR009,Electricity,35310.27,Pending
EXP000163,2025-02-22,BR009,Internet,12083.26,Paid
EXP000164,2025-02-09,BR009,Transport,53548.87,Paid
EXP000165,2025-02-01,BR009,Marketing,83366.79,Paid
EXP000166,2025-02-24,BR009,Security,21778.17,Pending
EXP000167,2025-02-07,BR009,Maintenance,18116.53,Paid
EXP000168,2025-02-03,BR009,Staff Welfare,10798.25,Paid
EXP000169,2025-02-06,BR010,Rent,161133.15,Paid
EXP000170,2025-02-03,BR010,Electricity,43231.45,Paid
EXP000171,2025-02-18,BR010,Internet,21613.6,Paid
EXP000172,2025-02-19,BR010,Transport,46749.52,Paid
EXP000173,2025-02-07,BR010,Marketing,10966.4,Paid
EXP000174,2025-02-14,BR010,Security,19446.59,Paid
EXP000175,2025-02-10,BR010,Maintenance,9288.74,Pending
EXP000176,2025-02-11,BR010,Staff Welfare,16424.21,Paid
EXP000177,2025-02-02,BR011,Rent,189513.53,Paid
EXP000178,2025-02-20,BR011,Electricity,76944.12,Paid
EXP000179,2025-02-26,BR011,Internet,15806.6,Paid
EXP000180,2025-02-25,BR011,Transport,29450.48,Paid
EXP000181,2025-02-22,BR011,Marketing,44089.2,Paid
EXP000182,2025-02-03,BR011,Security,21690.57,Pending
EXP000183,2025-02-12,BR011,Maintenance,21048.68,Pending
EXP000184,2025-02-21,BR011,Staff Welfare,18828.64,Paid
EXP000185,2025-02-23,BR012,Rent,143934.41,Paid
EXP000186,2025-02-20,BR012,Electricity,46402.52,Paid
EXP000187,2025-02-18,BR012,Internet,27356.37,Paid
EXP000188,2025-02-25,BR012,Transport,28038.15,Paid
EXP000189,2025-02-18,BR012,Marketing,71322.3,Paid
EXP000190,2025-02-12,BR012,Security,43042.56,Paid
EXP000191,2025-02-20,BR012,Maintenance,30323.08,Paid
EXP000192,2025-02-14,BR012,Staff Welfare,23787.96,Paid
EXP000193,2025-03-09,BR001,Rent,433737.41,Pending
EXP000194,2025-03-23,BR001,Electricity,57400.42,Paid
EXP000195,2025-03-16,BR001,Internet,24868.35,Paid
EXP000196,2025-03-21,BR001,Transport,58906.75,Paid
EXP000197,2025-03-12,BR001,Marketing,48796.24,Paid
EXP000198,2025-03-11,BR001,Security,25309.19,Paid
EXP000199,2025-03-25,BR001,Maintenance,22076.23,Pending
EXP000200,2025-03-20,BR001,Staff Welfare,31139.08,Paid
EXP000201,2025-03-20,BR002,Rent,406993.98,Paid
EXP000202,2025-03-21,BR002,Electricity,73316.74,Paid
EXP000203,2025-03-11,BR002,Internet,28923.67,Paid
EXP000204,2025-03-01,BR002,Transport,47025.74,Paid
EXP000205,2025-03-16,BR002,Marketing,85211.61,Pending
EXP000206,2025-03-23,BR002,Security,27107.97,Pending
EXP000207,2025-03-25,BR002,Maintenance,32588.37,Paid
EXP000208,2025-03-09,BR002,Staff Welfare,10470.36,Paid
EXP000209,2025-03-16,BR003,Rent,234343.31,Pending
EXP000210,2025-03-11,BR003,Electricity,79277.01,Pending
EXP000211,2025-03-03,BR003,Internet,13753.14,Paid
EXP000212,2025-03-19,BR003,Transport,28132.83,Paid
EXP000213,2025-03-17,BR003,Marketing,22517.86,Paid
EXP000214,2025-03-02,BR003,Security,33983.27,Paid
EXP000215,2025-03-18,BR003,Maintenance,25837.98,Paid
EXP000216,2025-03-13,BR003,Staff Welfare,13274.19,Pending
EXP000217,2025-03-23,BR004,Rent,173950.48,Paid
EXP000218,2025-03-01,BR004,Electricity,61279.96,Paid
EXP000219,2025-03-14,BR004,Internet,27721.31,Paid
EXP000220,2025-03-08,BR004,Transport,58444.61,Paid
EXP000221,2025-03-14,BR004,Marketing,81042.4,Pending
EXP000222,2025-03-21,BR004,Security,25874.73,Paid
EXP000223,2025-03-12,BR004,Maintenance,49083.58,Pending
EXP000224,2025-03-15,BR004,Staff Welfare,34193.13,Pending
EXP000225,2025-03-21,BR005,Rent,217327.55,Paid
EXP000226,2025-03-23,BR005,Electricity,28994.75,Pending
EXP000227,2025-03-08,BR005,Internet,27614.16,Pending
EXP000228,2025-03-02,BR005,Transport,22281.26,Paid
EXP000229,2025-03-22,BR005,Marketing,31898.5,Pending
EXP000230,2025-03-03,BR005,Security,39730.0,Paid
EXP000231,2025-03-22,BR005,Maintenance,13747.4,Pending
EXP000232,2025-03-23,BR005,Staff Welfare,14562.25,Paid
EXP000233,2025-03-06,BR006,Rent,251122.13,Paid
EXP000234,2025-03-24,BR006,Electricity,31110.57,Paid
EXP000235,2025-03-15,BR006,Internet,24992.33,Paid
EXP000236,2025-03-24,BR006,Transport,54392.31,Pending
EXP000237,2025-03-10,BR006,Marketing,17141.68,Paid
EXP000238,2025-03-09,BR006,Security,32852.02,Pending
EXP000239,2025-03-21,BR006,Maintenance,8808.43,Paid
EXP000240,2025-03-23,BR006,Staff Welfare,25018.64,Paid
EXP000241,2025-03-21,BR007,Rent,289129.47,Pending
EXP000242,2025-03-04,BR007,Electricity,51862.69,Paid
EXP000243,2025-03-05,BR007,Internet,16314.87,Paid
EXP000244,2025-03-24,BR007,Transport,61966.28,Pending
EXP000245,2025-03-26,BR007,Marketing,26713.19,Paid
EXP000246,2025-03-19,BR007,Security,23295.89,Paid
EXP000247,2025-03-14,BR007,Maintenance,12665.85,Paid
EXP000248,2025-03-17,BR007,Staff Welfare,20696.14,Paid
EXP000249,2025-03-01,BR008,Rent,228762.6,Pending
EXP000250,2025-03-11,BR008,Electricity,80144.4,Paid
EXP000251,2025-03-26,BR008,Internet,16788.0,Paid
EXP000252,2025-03-01,BR008,Transport,19054.89,Paid
EXP000253,2025-03-08,BR008,Marketing,29118.26,Paid
EXP000254,2025-03-09,BR008,Security,43977.39,Paid
EXP000255,2025-03-22,BR008,Maintenance,18544.52,Paid
EXP000256,2025-03-10,BR008,Staff Welfare,24785.98,Paid
EXP000257,2025-03-12,BR009,Rent,230814.2,Paid
EXP000258,2025-03-07,BR009,Electricity,34203.13,Pending
EXP000259,2025-03-19,BR009,Internet,17247.86,Paid
EXP000260,2025-03-07,BR009,Transport,58024.01,Paid
EXP000261,2025-03-12,BR009,Marketing,19657.49,Paid
EXP000262,2025-03-18,BR009,Security,31476.61,Paid
EXP000263,2025-03-17,BR009,Maintenance,12832.19,Pending
EXP000264,2025-03-04,BR009,Staff Welfare,13367.68,Paid
EXP000265,2025-03-10,BR010,Rent,153328.01,Paid
EXP000266,2025-03-03,BR010,Electricity,48449.13,Pending
EXP000267,2025-03-07,BR010,Internet,28182.24,Paid
EXP000268,2025-03-09,BR010,Transport,62868.32,Paid
EXP000269,2025-03-22,BR010,Marketing,78839.34,Pending
EXP000270,2025-03-16,BR010,Security,35225.6,Paid
EXP000271,2025-03-08,BR010,Maintenance,49818.11,Paid
EXP000272,2025-03-23,BR010,Staff Welfare,31122.22,Paid
EXP000273,2025-03-15,BR011,Rent,182889.79,Paid
EXP000274,2025-03-15,BR011,Electricity,71144.62,Paid
EXP000275,2025-03-04,BR011,Internet,19333.38,Pending
EXP000276,2025-03-10,BR011,Transport,48044.75,Paid
EXP000277,2025-03-10,BR011,Marketing,82984.0,Paid
EXP000278,2025-03-12,BR011,Security,24524.7,Paid
EXP000279,2025-03-03,BR011,Maintenance,49261.95,Paid
EXP000280,2025-03-02,BR011,Staff Welfare,15028.62,Pending
EXP000281,2025-03-21,BR012,Rent,152305.6,Paid
EXP000282,2025-03-14,BR012,Electricity,58097.23,Pending
EXP000283,2025-03-03,BR012,Internet,19770.11,Paid
EXP000284,2025-03-26,BR012,Transport,57288.47,Paid
EXP000285,2025-03-17,BR012,Marketing,75538.1,Paid
EXP000286,2025-03-01,BR012,Security,22020.85,Paid
EXP000287,2025-03-13,BR012,Maintenance,39233.9,Paid
EXP000288,2025-03-07,BR012,Staff Welfare,5390.44,Pending
EXP000289,2025-04-05,BR001,Rent,405445.89,Paid
EXP000290,2025-04-26,BR001,Electricity,38073.55,Pending
EXP000291,2025-04-10,BR001,Internet,13297.77,Pending
EXP000292,2025-04-14,BR001,Transport,34683.38,Paid
EXP000293,2025-04-16,BR001,Marketing,88781.48,Paid
EXP000294,2025-04-05,BR001,Security,38998.98,Paid
EXP000295,2025-04-07,BR001,Maintenance,9075.52,Pending
EXP000296,2025-04-01,BR001,Staff Welfare,10200.71,Paid
EXP000297,2025-04-19,BR002,Rent,381176.0,Paid
EXP000298,2025-04-02,BR002,Electricity,72633.25,Paid
EXP000299,2025-04-17,BR002,Internet,28973.96,Pending
EXP000300,2025-04-17,BR002,Transport,27428.07,Paid
EXP000301,2025-04-02,BR002,Marketing,26796.33,Pending
EXP000302,2025-04-01,BR002,Security,21611.06,Pending
EXP000303,2025-04-24,BR002,Maintenance,35885.63,Pending
EXP000304,2025-04-10,BR002,Staff Welfare,12612.7,Paid
EXP000305,2025-04-05,BR003,Rent,249229.73,Pending
EXP000306,2025-04-25,BR003,Electricity,39262.7,Paid
EXP000307,2025-04-03,BR003,Internet,24481.42,Paid
EXP000308,2025-04-05,BR003,Transport,56818.22,Paid
EXP000309,2025-04-03,BR003,Marketing,13903.63,Paid
EXP000310,2025-04-26,BR003,Security,19812.85,Pending
EXP000311,2025-04-07,BR003,Maintenance,35948.62,Paid
EXP000312,2025-04-06,BR003,Staff Welfare,34601.76,Paid
EXP000313,2025-04-15,BR004,Rent,176142.61,Pending
EXP000314,2025-04-03,BR004,Electricity,50613.45,Paid
EXP000315,2025-04-07,BR004,Internet,17948.85,Pending
EXP000316,2025-04-20,BR004,Transport,20879.48,Paid
EXP000317,2025-04-26,BR004,Marketing,45664.06,Paid
EXP000318,2025-04-15,BR004,Security,34516.99,Paid
EXP000319,2025-04-20,BR004,Maintenance,8102.25,Paid
EXP000320,2025-04-23,BR004,Staff Welfare,6143.51,Paid
EXP000321,2025-04-20,BR005,Rent,205445.14,Paid
EXP000322,2025-04-10,BR005,Electricity,40771.71,Pending
EXP000323,2025-04-24,BR005,Internet,29422.97,Paid
EXP000324,2025-04-10,BR005,Transport,59011.7,Paid
EXP000325,2025-04-21,BR005,Marketing,52518.37,Paid
EXP000326,2025-04-07,BR005,Security,37479.5,Paid
EXP000327,2025-04-19,BR005,Maintenance,37016.05,Paid
EXP000328,2025-04-18,BR005,Staff Welfare,18188.89,Paid
EXP000329,2025-04-01,BR006,Rent,239104.65,Paid
EXP000330,2025-04-21,BR006,Electricity,43861.9,Pending
EXP000331,2025-04-25,BR006,Internet,26235.7,Paid
EXP000332,2025-04-16,BR006,Transport,29594.99,Paid
EXP000333,2025-04-14,BR006,Marketing,36788.62,Paid
EXP000334,2025-04-05,BR006,Security,19601.65,Paid
EXP000335,2025-04-02,BR006,Maintenance,29965.5,Paid
EXP000336,2025-04-03,BR006,Staff Welfare,13109.23,Pending
EXP000337,2025-04-13,BR007,Rent,290160.96,Paid
EXP000338,2025-04-22,BR007,Electricity,74821.89,Paid
EXP000339,2025-04-25,BR007,Internet,18128.22,Paid
EXP000340,2025-04-04,BR007,Transport,29962.97,Pending
EXP000341,2025-04-06,BR007,Marketing,82304.26,Paid
EXP000342,2025-04-19,BR007,Security,36394.87,Pending
EXP000343,2025-04-21,BR007,Maintenance,34205.25,Paid
EXP000344,2025-04-05,BR007,Staff Welfare,5807.61,Paid
EXP000345,2025-04-13,BR008,Rent,226700.07,Paid
EXP000346,2025-04-26,BR008,Electricity,41512.1,Paid
EXP000347,2025-04-18,BR008,Internet,28850.03,Paid
EXP000348,2025-04-02,BR008,Transport,60161.64,Paid
EXP000349,2025-04-02,BR008,Marketing,52275.42,Paid
EXP000350,2025-04-26,BR008,Security,27737.59,Paid
EXP000351,2025-04-12,BR008,Maintenance,18446.34,Paid
EXP000352,2025-04-25,BR008,Staff Welfare,12661.59,Paid
EXP000353,2025-04-18,BR009,Rent,213145.49,Paid
EXP000354,2025-04-01,BR009,Electricity,40791.74,Pending
EXP000355,2025-04-16,BR009,Internet,23400.7,Pending
EXP000356,2025-04-08,BR009,Transport,49866.51,Pending
EXP000357,2025-04-06,BR009,Marketing,35435.37,Pending
EXP000358,2025-04-21,BR009,Security,23847.32,Paid
EXP000359,2025-04-23,BR009,Maintenance,35068.87,Paid
EXP000360,2025-04-16,BR009,Staff Welfare,23672.96,Paid
EXP000361,2025-04-11,BR010,Rent,155306.42,Paid
EXP000362,2025-04-13,BR010,Electricity,71564.5,Pending
EXP000363,2025-04-07,BR010,Internet,21740.77,Pending
EXP000364,2025-04-09,BR010,Transport,15675.24,Paid
EXP000365,2025-04-11,BR010,Marketing,51848.84,Paid
EXP000366,2025-04-16,BR010,Security,24398.04,Paid
EXP000367,2025-04-02,BR010,Maintenance,20920.68,Paid
EXP000368,2025-04-03,BR010,Staff Welfare,21720.41,Pending
EXP000369,2025-04-24,BR011,Rent,190581.69,Pending
EXP000370,2025-04-04,BR011,Electricity,53721.52,Paid
EXP000371,2025-04-17,BR011,Internet,15586.08,Pending
EXP000372,2025-04-11,BR011,Transport,57261.64,Pending
EXP000373,2025-04-26,BR011,Marketing,80094.77,Paid
EXP000374,2025-04-02,BR011,Security,44450.46,Paid
EXP000375,2025-04-11,BR011,Maintenance,17982.41,Paid
EXP000376,2025-04-13,BR011,Staff Welfare,5217.43,Paid
EXP000377,2025-04-24,BR012,Rent,155304.31,Paid
EXP000378,2025-04-21,BR012,Electricity,53509.72,Paid
EXP000379,2025-04-23,BR012,Internet,26946.93,Paid
EXP000380,2025-04-21,BR012,Transport,59050.15,Paid
EXP000381,2025-04-19,BR012,Marketing,20104.17,Paid
EXP000382,2025-04-16,BR012,Security,41335.88,Paid
EXP000383,2025-04-10,BR012,Maintenance,28432.09,Paid
EXP000384,2025-04-10,BR012,Staff Welfare,30200.93,Paid
EXP000385,2025-05-11,BR001,Rent,439597.81,Pending
EXP000386,2025-05-21,BR001,Electricity,36552.4,Paid
EXP000387,2025-05-24,BR001,Internet,14699.24,Paid
EXP000388,2025-05-07,BR001,Transport,23381.02,Paid
EXP000389,2025-05-12,BR001,Marketing,20620.39,Paid
EXP000390,2025-05-07,BR001,Security,22285.68,Paid
EXP000391,2025-05-11,BR001,Maintenance,31260.05,Paid
EXP000392,2025-05-12,BR001,Staff Welfare,10770.2,Pending
EXP000393,2025-05-01,BR002,Rent,378428.31,Paid
EXP000394,2025-05-07,BR002,Electricity,30271.43,Pending
EXP000395,2025-05-09,BR002,Internet,28531.43,Paid
EXP000396,2025-05-05,BR002,Transport,59344.32,Paid
EXP000397,2025-05-13,BR002,Marketing,46928.16,Paid
EXP000398,2025-05-12,BR002,Security,18017.91,Paid
EXP000399,2025-05-25,BR002,Maintenance,40692.51,Paid
EXP000400,2025-05-06,BR002,Staff Welfare,26876.93,Paid
EXP000401,2025-05-24,BR003,Rent,231000.48,Paid
EXP000402,2025-05-01,BR003,Electricity,49005.65,Pending
EXP000403,2025-05-09,BR003,Internet,20891.97,Paid
EXP000404,2025-05-14,BR003,Transport,46078.53,Pending
EXP000405,2025-05-03,BR003,Marketing,44151.23,Pending
EXP000406,2025-05-20,BR003,Security,39552.47,Pending
EXP000407,2025-05-02,BR003,Maintenance,38205.02,Paid
EXP000408,2025-05-26,BR003,Staff Welfare,23976.24,Paid
EXP000409,2025-05-02,BR004,Rent,177575.5,Paid
EXP000410,2025-05-03,BR004,Electricity,43287.22,Paid
EXP000411,2025-05-10,BR004,Internet,22850.09,Paid
EXP000412,2025-05-23,BR004,Transport,24932.47,Paid
EXP000413,2025-05-10,BR004,Marketing,71982.85,Pending
EXP000414,2025-05-12,BR004,Security,32621.93,Paid
EXP000415,2025-05-04,BR004,Maintenance,43299.08,Paid
EXP000416,2025-05-10,BR004,Staff Welfare,20451.76,Paid
EXP000417,2025-05-07,BR005,Rent,216735.88,Paid
EXP000418,2025-05-21,BR005,Electricity,74676.68,Pending
EXP000419,2025-05-11,BR005,Internet,26563.8,Paid
EXP000420,2025-05-26,BR005,Transport,36821.57,Paid
EXP000421,2025-05-25,BR005,Marketing,28211.86,Paid
EXP000422,2025-05-20,BR005,Security,42886.5,Paid
EXP000423,2025-05-23,BR005,Maintenance,6220.7,Paid
EXP000424,2025-05-17,BR005,Staff Welfare,14702.73,Paid
EXP000425,2025-05-16,BR006,Rent,259515.3,Paid
EXP000426,2025-05-04,BR006,Electricity,70268.34,Paid
EXP000427,2025-05-26,BR006,Internet,17814.85,Paid
EXP000428,2025-05-21,BR006,Transport,29038.53,Paid
EXP000429,2025-05-14,BR006,Marketing,69284.85,Pending
EXP000430,2025-05-18,BR006,Security,38713.93,Paid
EXP000431,2025-05-22,BR006,Maintenance,18125.93,Paid
EXP000432,2025-05-05,BR006,Staff Welfare,23450.11,Paid
EXP000433,2025-05-04,BR007,Rent,286498.14,Paid
EXP000434,2025-05-04,BR007,Electricity,68938.26,Pending
EXP000435,2025-05-14,BR007,Internet,17307.09,Paid
EXP000436,2025-05-01,BR007,Transport,57975.2,Pending
EXP000437,2025-05-25,BR007,Marketing,89204.7,Pending
EXP000438,2025-05-13,BR007,Security,27647.19,Paid
EXP000439,2025-05-09,BR007,Maintenance,44768.44,Paid
EXP000440,2025-05-17,BR007,Staff Welfare,18929.39,Paid
EXP000441,2025-05-07,BR008,Rent,222004.07,Pending
EXP000442,2025-05-09,BR008,Electricity,77269.23,Paid
EXP000443,2025-05-08,BR008,Internet,20972.83,Paid
EXP000444,2025-05-10,BR008,Transport,67939.97,Pending
EXP000445,2025-05-16,BR008,Marketing,69139.1,Paid
EXP000446,2025-05-08,BR008,Security,36080.02,Paid
EXP000447,2025-05-22,BR008,Maintenance,9249.01,Paid
EXP000448,2025-05-08,BR008,Staff Welfare,25086.21,Pending
EXP000449,2025-05-09,BR009,Rent,218700.12,Paid
EXP000450,2025-05-09,BR009,Electricity,48990.66,Paid
EXP000451,2025-05-02,BR009,Internet,26317.26,Pending
